"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22"
NA,"SCCPDH","GAS2L1",NA,"ZNF35","FRS2",NA,"MKLN1-AS","TBC1D3D",NA,"UHRF1BP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"WNT9A","FAM126B",NA,"RNF41","ARFGEF2",NA,"NUP43","CMTM4",NA,"AC013553.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PACRGL","WDR45B",NA,"TUBA1B","TUBGCP6",NA,"RHOT1","TRAK2",NA,"MOV10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"APBB1","TSNAX",NA,"SMARCAD1","MAU2",NA,"XRN2","METTL1",NA,"RASIP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASH1L","RECQL",NA,"MED22","RBCK1",NA,"AC093849.2","TBC1D2B",NA,"COQ9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AL391497.1","TMED6",NA,"POP7","BMPR1B",NA,"SENP6","AL023803.3",NA,"RAVER1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMACR","SNAPC2",NA,"TNFSF15","EPB41L5",NA,"FAIM","LRRC41",NA,"AL139041.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PALB2","AC099329.1",NA,"CYSTM1","OAF",NA,"RHEBL1","STXBP1",NA,"LINC01106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"HNRNPDL","CXXC1",NA,"ARPC5","PACS1",NA,"ARHGEF10L","TAF1C",NA,"GMPPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PRR15L","MOCOS",NA,"SLC9B2","PRR26",NA,"TCFL5","ST6GALNAC6",NA,"AL135786.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NCKAP1","MARVELD1",NA,"FNIP2","SH3D19",NA,"ZMAT5","ZNF853",NA,"SETD1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ZNF239","PRKAG1",NA,"EMC1","SMPDL3B",NA,"FCGR3B","IFNGR1",NA,"BAG4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NPHP3","ARL6IP1",NA,"NPM2","CNGA1",NA,"GPX2","RGCC",NA,"ATP11A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SPEG","LPP-AS2",NA,"TAMM41","PDK2",NA,"FAM222B","AC123912.2",NA,"MEIS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"CPB1","COPS8",NA,"GALM","CASD1",NA,"SMIM12","SH2D4A",NA,"KDM2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"IFNAR1","ARID1A",NA,"ZNF510","CEP290",NA,"HIP1","ZKSCAN8",NA,"PSMC4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TPMT","PTBP1",NA,"AL158071.5","EIF3K",NA,"LINC00294","C1QC",NA,"TRAPPC2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RASGRP4","NCK1",NA,"NAA20","GALK2",NA,"SAMD5","CIC",NA,"POLR3D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"UQCRC2","SLC12A4",NA,"ATP5MC3","NSUN4",NA,"DRAP1","ASPH",NA,"SMG7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NUCB2","TNPO2",NA,"CDKAL1","KRBA1",NA,"FRAT2","HK2",NA,"SERPINA11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TRMT2A","CAMK2D",NA,"PLBD1","PPP2R2C",NA,"UQCRC1","VKORC1L1",NA,"GRP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SPRYD3","KAT6B",NA,"DMTF1","ME2",NA,"SPIN1","GALE",NA,"DNAAF5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AC120024.1","DENND1B",NA,"AC011043.1","CHURC1",NA,"ZNF410","ARHGEF28",NA,"DERL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"CENPF","PIMREG",NA,"TMEM266","CLPTM1L",NA,"MAP4K4","TKFC",NA,"LINC02126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TLE4","TBC1D12",NA,"EI24","PKD2L1",NA,"SMG8","DCTN5",NA,"MCUR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"QSOX2","AC022784.1",NA,"NAP1L1","ALPK1",NA,"SP3","ARL4D",NA,"AL391684.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BBX","ATRAID",NA,"WDR55","UBP1",NA,"SEC16A","MAP3K12",NA,"PMPCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"HIST1H4A","AP003392.5",NA,"EVI5L","MOCS1",NA,"PGM2","ACTL6A",NA,"CTBP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"WNT10B","KANTR",NA,"AC004921.2","ZNF24",NA,"TCERG1","AC011700.1",NA,"CYP2D6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"IL6ST","SELPLG",NA,"HIPK2","VRK3",NA,"SERPINB1","AL137191.1",NA,"MRPS31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"CIB1","NR2F6",NA,"NHP2","BMP7",NA,"SPOCK1","PHYH",NA,"CPT1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ZMPSTE24","FAM110B",NA,"AC020558.1","RNF170",NA,"TBCCD1","AC023302.1",NA,"PSTPIP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"APELA","FATE1",NA,"KLHL30","NAGLU",NA,"ZNF326","NOP10",NA,"MEP1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ROCK1","ZNF660",NA,"GLB1","RTF2",NA,"MCFD2","VPS29",NA,"FANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"C1QC","POC1A",NA,"ADIPOR1","AC061992.2",NA,"SLC22A17","USP9X",NA,"RGL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"P4HA2","RNH1",NA,"USP21","RGS19",NA,"SIGMAR1","RAP2C",NA,"AL355802.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EIF3C","CLCN4",NA,"FLNA","RASGRP3",NA,"TMCO2","B4GALT3",NA,"TCL6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TMEM62","LINC02506",NA,"SMIM27","MAGEF1",NA,"KPNA2","HILPDA",NA,"PCTP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RRP15","AC108021.1",NA,"TAX1BP1","IFT20",NA,"OBSL1","SDR39U1",NA,"RRNAD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"WASHC4","BMF",NA,"TEX264","NRP2",NA,"ANKRD9","TWF2",NA,"ADAMTS3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"YME1L1","ZNF526",NA,"FKBP10","HNRNPA1L2",NA,"TRIM44","LANCL2",NA,"GCH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ABCC8","ETV6",NA,"MICU3","AL121832.2",NA,"DAXX","PODXL2",NA,"KIF14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"IGDCC4","BMS1",NA,"NOL4L","AC026462.3",NA,"HIPK2","SLC30A1",NA,"TBL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MLH3","CORO1B",NA,"AC012213.3","AC005261.1",NA,"LPIN2","VPS41",NA,"NFKBIE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"KLHL21","CDC34",NA,"TESMIN","PITHD1",NA,"PIK3C2A","GFM2",NA,"UBR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"CABLES1","NDUFA6",NA,"NIN","STK33",NA,"MTERF2","ZNF282",NA,"UBA5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RIC1","CTSV",NA,"AC078795.2","ZFAND6",NA,"NFE2L1","PRELID3B",NA,"USP35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TARS","ANKHD1",NA,"PXK","ST3GAL4",NA,"LTBP1","TSHR",NA,"LINC00973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SYNE3","ZNF621",NA,"ATP6V1G2","E4F1",NA,"C1orf56","BCL2L11",NA,"FTSJ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"COCH","ATP6V1C1",NA,"NDUFAF1","ULK1",NA,"SMARCAD1","SCUBE2",NA,"MAP4K2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SAXO2","TEX41",NA,"FABP5","MTRR",NA,"ATP2B1","RNF20",NA,"TSPYL4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PLCG1-AS1","ENTPD8",NA,"HACL1","AP001627.1",NA,"C12orf49","P2RX3",NA,"ZMYND19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NRAP","AL441883.1",NA,"NUMB","EXOC4",NA,"CENPB","SIKE1",NA,"CC2D2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EDEM3","KIF1C",NA,"BAMBI","LIMA1",NA,"HNF1A","NT5DC1",NA,"TULP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SIGIRR","AMN",NA,"GABPA","CDC25A",NA,"AHCTF1","ASF1B",NA,"SFXN5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RIPK1","NPR1",NA,"MAB21L3","SH3YL1",NA,"DNMT3A","DVL2",NA,"BEND5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PGAP2","REV1",NA,"DCSTAMP","SNRPD3",NA,"CRNDE","RAD21",NA,"VHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ZNF184","KIRREL1",NA,"DZIP3","NR0B2",NA,"FTSJ1","AC112236.2",NA,"B4GALNT3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LRRC28","ZNF136",NA,"ZNF441","BCL2L12",NA,"MBD3","ACADM",NA,"SOCS7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACC2","CEACAM19",NA,"PSMA2","CLEC4M",NA,"ANKS1A","EBF1",NA,"FURIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EFNA4","AGAP3",NA,"Z93241.1","HINFP",NA,"AC118549.1","AL139041.1",NA,"HIST3H2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"METTL17","RCN1",NA,"GALNT6","PCGF1",NA,"NADSYN1","TBC1D10B",NA,"NFASC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SLC2A10","HSPA4L",NA,"DPP9","VOPP1",NA,"ZBTB7B","THBS4",NA,"PRR35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RGS3","GDPD5",NA,"PHTF2","NEK4",NA,"FGFR1OP","TNFRSF9",NA,"GNA11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"VAC14","HACD2",NA,"SH3YL1","AC006213.4",NA,"PARP14","AC004918.1",NA,"AC136604.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ACVR2A","DLEU2",NA,"TCEAL3","MARCH7",NA,"DHX33","TMEM70",NA,"THOC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TLE2","PCGF1",NA,"ABCB4","GGA1",NA,"POU2F1","SPEN",NA,"NUP35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"CNBP","DNAJB1",NA,"DCTN5","NUTF2",NA,"NDRG1","MRGBP",NA,"EVI2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AL133227.1","AHCTF1",NA,"PPP1R3C","RNF157",NA,"HM13","PPCDC",NA,"TMEM47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PINX1","SMARCA4",NA,"ZC2HC1A","TNK2",NA,"AC079630.1","TUBB6",NA,"GTF2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NME3","SNHG21",NA,"DLEC1","PLXNC1",NA,"ZCCHC3","AC010186.1",NA,"MTHFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ZNRD2","ZNF567",NA,"ALG8","ZNF624",NA,"PRAF2","PGC",NA,"PCSK1N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PSKH1","PPP1R3E",NA,"WDR91","RRP15",NA,"AXIN1","C11orf98",NA,"ZADH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NR2F2-AS1","TGIF1",NA,"EPHA2","SLC44A3",NA,"RCCD1","C4A",NA,"NPNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MBOAT2","GPER1",NA,"GALNT1","LINC01971",NA,"C12orf75","SORL1",NA,"ENGASE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PKNOX1","EIF2B4",NA,"RAB19","AP1S2",NA,"CHMP2A","AC137932.3",NA,"LIMS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TFAP4","CCDC61",NA,"OSTF1","YME1L1",NA,"ITFG1-AS1","ASXL1",NA,"RUFY3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"HECTD4","AC019129.2",NA,"TAPT1-AS1","CLK3",NA,"CMTM3","AGFG2",NA,"XPOT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"URGCP","ZZEF1",NA,"SLCO2A1","YBX3",NA,"IST1","DUSP16",NA,"MCRS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOR1B","WDR6",NA,"SLC39A5","FAM20C",NA,"ALDOA","TMEM222",NA,"ZBTB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AL359762.1","AC245407.2",NA,"MYL12A","GTF2F2",NA,"AC106772.1","TWF1",NA,"TOM1L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SHKBP1","PNPLA7",NA,"KLF12","MPP7",NA,"C22orf31","TXNDC5",NA,"SNAPC4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SLC35B1","NMNAT3",NA,"CETN3","HEBP2",NA,"TMEM245","CHD1",NA,"CAMTA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"HAUS2","G3BP1",NA,"GRAPL","KRAS",NA,"NHLRC3","WBP1L",NA,"PTRH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RALGPS1","UBE2Q1",NA,"ECHDC3","TBC1D17",NA,"AL355472.3","LTBR",NA,"AC020659.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"WDR36","AC027607.1",NA,"CLIC6","TMEM106C",NA,"RP9","MAGEE1",NA,"GLG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"CTBP1-DT","STARD9",NA,"GNL2","TSHZ1",NA,"RANBP17","PRIM2",NA,"HINT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"OGFOD2","AL355312.3",NA,"ODC1","LINC00337",NA,"ACOT12","CD81-AS1",NA,"HLA-DQB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PER3","ENY2",NA,"MAFF","IBTK",NA,"TSC2","AL731557.1",NA,"TIGAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RMI2","DZANK1",NA,"ZBTB21","PHC3",NA,"SMIM10L1","B4GALT4",NA,"ABL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ZNF33A","AC090844.2",NA,"AL358472.4","GNPTAB",NA,"FAM204A","SLC1A4",NA,"LCN10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LYSMD2","ZNF202",NA,"ZNF142","ZFYVE16",NA,"PPP1CA","OGFR",NA,"FOXA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"KIF20B","MIPOL1",NA,"ANKRD28","ALDH1B1",NA,"PRRG4","AL117344.2",NA,"CRELD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RNASEH1-AS1","GPR4",NA,"HMGB1","ACTR3",NA,"NEK9","MMEL1",NA,"TUBGCP6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AC009570.2","AC004854.2",NA,"NELL2","LPCAT1",NA,"ZNF124","MAP3K13",NA,"DYRK1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ZNF525","ARHGAP8",NA,"DTD2","PIGL",NA,"FDXR","DAP",NA,"LMX1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"WNT9B","AL050341.2",NA,"ATP5MC1","BCKDK",NA,"RHNO1","TERF2IP",NA,"INTS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PLCG1","TMEM199",NA,"FMC1","BANF1",NA,"SLC66A2","NUDT22",NA,"STX10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SEC61G","KIAA1211",NA,"TMEM138","S1PR2",NA,"AC087672.2","FAM149B1",NA,"POSTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SMAGP","CLGN",NA,"CDC42-AS1","UBE2V2",NA,"MAP4K5","ZNF620",NA,"NCKIPSD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TJP3","C16orf74",NA,"SPATA2L","DPP3",NA,"SLC15A1","MUS81",NA,"WDR61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MUC13","CADPS",NA,"CDCA2","AC233280.1",NA,"TRMT11","ZNF3",NA,"NOXA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TBKBP1","IQCJ-SCHIP1",NA,"AD000090.1","AC239799.1",NA,"SLC25A28","C7",NA,"AL359198.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AC078785.1","TYW1",NA,"USP37","AC023024.1",NA,"CLUH","LCN2",NA,"TTPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"USP19","AVEN",NA,"CD163","AC126755.2",NA,"PSMD9","ZNF625",NA,"MLLT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MAPK13","HAUS2",NA,"RILPL1","ELL",NA,"PRKAB2","NSL1",NA,"PABPC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DPEP3","EXOC4",NA,"SUOX","UBL4A",NA,"USP13","SLC25A14",NA,"SSBP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SPX","ZBTB49",NA,"DZANK1","IGHG3",NA,"AL139246.3","PANK3",NA,"PTPN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RIOK3","AC008040.1",NA,"GNG2","ZNF93",NA,"VPS52","PRR29",NA,"AC006329.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BCL2A1","MINDY3",NA,"AC015917.2","AC090517.5",NA,"CCL19","LGMN",NA,"AC107375.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AF235103.3","CLPX",NA,"AL121601.1","TBC1D1",NA,"GLT1D1","MPHOSPH6",NA,"COX10-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ZNF287","RSPH1",NA,"IGLV5-45","DLGAP2",NA,"MOGS","IL10RB",NA,"ZC3H12C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ZNF263","MED16",NA,"LRRC28","SACM1L",NA,"PGGHG","TRIM27",NA,"RAB3IP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DYRK1B","CDIPT",NA,"RIBC2","COA7",NA,"RALGAPA2","TMEM35B",NA,"APOLD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ANKRD27","PEAK1",NA,"AC100801.2","CDRT4",NA,"FAM71E1","PAAF1",NA,"ZNF572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SLC33A1","PHLDA3",NA,"RABL2A","RNF165",NA,"RNF115","SLC2A10",NA,"SUGCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PRC1","DDX31",NA,"COPS7B","CDPF1",NA,"CLNS1A","ZNF480",NA,"C2CD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASAH1","HAUS8",NA,"AKIP1","GARS",NA,"PLCB3","REXO1",NA,"PDE4DIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AC090114.2","PPP1CC",NA,"PROZ","IP6K1",NA,"LINC01504","XIAP",NA,"LINC01607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NUP62","SPATS2L",NA,"PCIF1","CRP",NA,"LHPP","NCALD",NA,"PRDM16-DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LINC00221","NUMBL",NA,"SHISAL2A","SLC2A8",NA,"C9orf64","LRP4",NA,"DUOXA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MPP7","ARAF",NA,"AMHR2","NDUFA5",NA,"CCNL2","PCBP4",NA,"PTPN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TATDN1","DCAF6",NA,"CCDC58","AC006064.3",NA,"SLC35E3","COG6",NA,"RFXANK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"KIF20A","SFXN1",NA,"MTM1","SFI1",NA,"GTPBP3","NAPB",NA,"GON4L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SRSF8","VAPB",NA,"ZNF619","CCNQ",NA,"SFXN3","FAN1",NA,"SLC5A9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MFHAS1","VOPP1",NA,"PCDHA5","AP000553.2",NA,"TNFRSF1A","CAT",NA,"NR2F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TXNDC16","DMAC2L",NA,"RSL24D1","WFS1",NA,"RNASE1","NPW",NA,"WLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SETD5","IGHMBP2",NA,"NDUFA13","PIGO",NA,"ATP6V0D1","ATRN",NA,"TUBB2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PATL2","CRIP2",NA,"EFR3A","RPTOR",NA,"ZNF639","AC138470.2",NA,"RBM23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MCMDC2","RAB15",NA,"PARD6B","HGH1",NA,"CHCHD4","PRR14",NA,"EXOC6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"CDC42BPG","SGMS1-AS1",NA,"GAS8","PGBD1",NA,"WASL","F2R",NA,"NTN4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TMEM167A","ZMYND8",NA,"AL136531.1","SULT1C4",NA,"KPNA1","LIMS2",NA,"SEC23B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TCTA","SLC39A4",NA,"RAB4B","PZP",NA,"HERPUD1","ZNHIT1",NA,"EXOC3L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SPIRE2","B3GNT4",NA,"NPR1","DYNC1I1",NA,"MVD","LEMD2",NA,"CPNE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AL158063.1","AKR1B1",NA,"LAMB1","TTC21B",NA,"PYGL","ANP32B",NA,"CNPY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"SH3BP5-AS1","COPS5",NA,"SLC2A6","TJP3",NA,"CLASRP","VEZF1",NA,"NUDT7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"GATD3B","ZNF814",NA,"DROSHA","AC008752.2",NA,"PWWP3A","KCTD6",NA,"SNAP25-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"CCDC141","FBXO33",NA,"TMX4","GPT2",NA,"STAG1","TSTD2",NA,"UPP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MDN1","TRIM23",NA,"PCCA","TCERG1",NA,"EXT1","AC087752.3",NA,"SMAD5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"KBTBD6","CMTR1",NA,"PREX1","SMCHD1",NA,"VRK2","MXD1",NA,"COMMD9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"GAB1","ECT2",NA,"CFL1","DPY19L1",NA,"AC005410.2","RPRD2",NA,"HNF1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TEX30","AC091544.4",NA,"GPD2","PPM1G",NA,"GOLPH3L","AP006623.1",NA,"KIAA1211L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NDFIP2","VWCE",NA,"CHMP5","MTPAP",NA,"PLTP","ABITRAM",NA,"CCDC186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"VAV2","CEP95",NA,"ARL1","TUBB6",NA,"USP47","AP001107.9",NA,"BBS4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"CCDC130","NOC2L",NA,"AL158071.3","PNKP",NA,"RNF40","COL15A1",NA,"RBM14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MBD6","METTL7B",NA,"GAS2L3","IZUMO4",NA,"RNF26","TRIP11",NA,"MAP3K3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PIGN","LINC02352",NA,"CNBP","FAM76B",NA,"KLHL7","LSM14A",NA,"CBR4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DDX6","CSPG5",NA,"PCDHGC3","LPIN3",NA,"MX2","GGA2",NA,"GRAP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"PDCD2","C19orf25",NA,"CDKN3","ST13",NA,"KCNE5","OBI1",NA,"ERCC6L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ARHGAP24","ZNF582-AS1",NA,"AGPS","E2F8",NA,"MBOAT1","RIPPLY1",NA,"CACNA1H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
