"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22"
"RETREG1","GPR75","HMCN1","SNHG18","LINC02018","RAB25","LINC00996","LOXL3","RASAL2-AS1","CA3","LINC01806","GRHL3","BRINP1","AC125603.1","AP003352.1","FGB","AC245452.1","ISM1",NA,"PAX8",NA,"AKAP5"
"AC099509.1","TMEM17","F13B","BASP1","ZPLD1","SEMA4A","AC004908.3","PROM2","LAMC2","C8orf88","DPP4","AC079414.3",NA,"DCAF4L1","LCA5L","FGA","NRN1","AF001548.2",NA,"AC073257.2",NA,"CYP26A1"
"SLCO4C1","PROKR1","AC104463.2","ADAMTS12","MYH15","TMEM79","EBF2","LIPT1","CFHR1","AP003352.1","SCRN3",NA,NA,"USH1G","LINC01357","RPL37","AC093599.2","AL109615.3",NA,"LYPD6",NA,"NINJ2"
"MALINC1","ADD2","SLC45A3","IL7R","ARHGAP31","AL365181.2","MIR2052HG","AFF3","TNNT2","AL391834.1","CHN1",NA,NA,"AC113139.1","PRKCG","SELENOP","LRRCC1","AC004862.1",NA,"B3GALT1",NA,"APOA5"
"ABLIM3","ANKRD53","C1orf74","OSMR","AC112482.2","IFI16","PCAT1","AC068282.1","LGR6","AL133477.2","PDE1A",NA,NA,"AL133215.2","GRIK4","SMN1","AC109460.1","CRYBG1",NA,"NOSTRIN",NA,"KCNJ2"
"ARSI","AC007881.3","ATF3","C9","NCK1-DT","CFAP45","PRNCR1","NMI","PIK3C2B","FCN2","AC009315.1",NA,NA,"GDPD4","AC005746.3","BTF3","NXPH2","AHNAK2",NA,"FKBP7",NA,"APCS"
"MIR3142HG","AC092653.1","RNU6ATAC35P","C7","PCOLCE2","IGSF9","PDCD1LG2","AC097448.1","IKBKE","PROSER2-AS1","NEMP2",NA,NA,"LINC01549",NA,"RPS23","AP001160.4","INPP4B",NA,"TTN",NA,"LPA"
"AC008443.5","WDR54","OBSCN-AS1","AC025171.5","MME","LY9","PAX5","METAP1D","DYRK3","LINC01518","AC108047.1",NA,NA,"AC093752.3",NA,"COX7C","CA3-AS1",NA,NA,"FZD7",NA,"C1S"
"AL157373.2","CCDC142","HIST3H2BB","GZMK","AC091607.2","TBX19","AL136317.2","AC010680.2","BATF3","NUTM2E","AC021016.2",NA,NA,"AP000695.2",NA,"RFESD","AL356433.1",NA,NA,"AC064836.3",NA,"F13B"
"SLC17A1","LBX2","TRIM67","GZMA","AC106707.1","AL023755.1","SYK","NABP1","PROX1-AS1","CYP2C8","GPBAR1",NA,NA,"C16orf54",NA,"HINT1","AL645608.7",NA,NA,"BARD1",NA,"AKR1C1"
"HCG11","AC012511.1","AL160408.3","PDE8B","SPTSSB","NME7","FAM225A","FLACC1","TGFB2","EDRF1-DT","SLC11A1",NA,NA,"DNAJB13",NA,"SPINK1","SOX21",NA,NA,"SLC23A3",NA,"GNAS-AS1"
"HIST1H4I","CD8A","LYST","VCAN","BCHE","ANKRD45","WDR31","IDH1-AS1","AC096642.1","TRPM5","AC053503.2",NA,NA,"AL023803.3",NA,"RPS14","CDNF",NA,NA,"AC053503.5",NA,"FP565260.3"
"CLIC5","CD8B","AL359764.2","MCTP1","YEATS2-AS1","Z99127.4","LHX2","MAP2","TAF1A-AS1","AC104031.1","CCL20",NA,NA,"AL137798.1",NA,"NPM1","LRP4-AS1",NA,NA,"FAM124B",NA,"RND1"
"PTCHD4","ITPRIPL1","AL356512.1","LOX","CLDN16","MR1","AL117336.2","TMEM169","AL592148.3","GLYATL1","AC106876.1",NA,NA,NA,NA,"CANX","GNAZ",NA,NA,"AC017104.1",NA,"ADH1B"
"CCDC170","SLC9A4","AC108488.3","CHSY3","LMLN","SWT1","COL13A1","SP140L","CNIH3","AP001107.2","CAPN10-DT",NA,NA,NA,NA,"RACK1","QPCT",NA,NA,"AC112715.1",NA,"UGT2B4"
"AL596202.1","TMEM182","AC010907.2","MZB1","AC092574.1","AL136454.1","CDH23","AC104809.2","AL591895.1","AP003680.1","AC083855.2",NA,NA,NA,NA,"SERPINB6","MYRFL",NA,NA,"ERFE",NA,"NBPF10"
"AL355297.4","SH3RF3","RSAD2","SGCD","AC092535.5","LINC01353","AL731563.2","CNTN4","OBSCN","CD3E","OSBPL10",NA,NA,NA,NA,"AL359643.3",NA,NA,NA,"AC018809.1",NA,"ALPK2"
"AL139393.3","LINC01191","AC010904.2","ADRA1B","TADA2B","DSTYK","AL157893.2","PRRT3-AS1","AL122008.3","ADAMTS8","AC112220.2",NA,NA,NA,NA,"HIST1H1C",NA,NA,NA,"AC022007.1",NA,"UGT2B11"
"LINC00242","AC068282.2","AC073195.1","C1QTNF2","AC105345.1","RAB7B","NKX2-3","LINC00852","LINC01348","PIK3C2G","SLC22A14",NA,NA,NA,NA,"HIST1H4C",NA,NA,NA,"ZCWPW2",NA,"SAA4"
"FAM220A","AC140481.1","WDCP","KCNMB1","AC106052.1","HHAT","AL513190.1","SH3BP5-AS1","RBM34","AC004241.3","CCRL2",NA,NA,NA,NA,"HIST1H3H",NA,NA,NA,"SCN5A",NA,"TGFBI"
"AC013470.2","KYNU","DNAJC27-AS1","HRH2","UGT2B11","DUSP10","AL360181.4","PLCL2","AL359921.2","LINC02456","GNAT1",NA,NA,NA,NA,"RPS18",NA,NA,NA,"ACKR2",NA,"VSIG10L"
"ZNF273","ARHGAP15","DRC1","ADAMTS2","AC053527.2","BROX","LINC02716","NEK10","KMO","DIABLO","DNAH1",NA,NA,NA,NA,"RPS10",NA,NA,NA,"AC104187.1",NA,"MCCD1"
"SPDYE5","KIF5C","ABHD1","BMP6","RASSF6","TLR5","MS4A1","LTF","EXO1","AC145423.2","AC135507.1",NA,NA,NA,NA,"RPL10A",NA,NA,NA,"LRRC2",NA,"ADRB2"
