"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"GAB1","MAP6","AC008966.1","PRSS36","HOPX","TRAF3IP2","IL31RA",NA,NA,NA,"CHAF1B","MDC1"
"MND1","LARP6","TRIM23","SIM1","ALB","RFPL4B","TNFRSF11B",NA,NA,NA,"DNMT3L","AC067838.1"
"CLCN3","MAP3K14","AC025774.1","SEMA3A","CXCL8","TSPYL4","NTN4",NA,NA,NA,"DGCR6","NPR2"
"CDKN2AIP","SEMA4A","MEF2C","Z95115.1","CXCL1","ZUP1","AL158212.3",NA,NA,NA,"CDC45","CCDC180"
"LINC02362","DEF6","KLHL3","AC093866.1","CXCL3","CLVS2","GABPB1-IT1",NA,NA,NA,"AL021707.8","CRACR2A"
"CFAP97","DRC3","KIF20A","VEGFC","AC104785.1","LINC01277","YY2",NA,NA,NA,"NDUFA6-DT","NEDD1"
"NUP155","ZNF681","AC008703.1","DMPK","GPRIN3","FBXO5","TMEM216",NA,NA,NA,"CHKB-DT","GPC5"
"LIFR","AC073046.4","FAM153CP","ITGA9","MMRN1","TIAM2","PDGFD",NA,NA,NA,"FANCB","CDCA4"
"PTGER4","DHFR2","MAPK9","PDE3A","EMCN","TAGAP","RGS10",NA,NA,NA,"VEGFD","CATSPER2"
"DEPDC1B","AC009005.1","ZFP62","AC018809.1","AC096564.1","PRKN","ZNF16",NA,NA,NA,"SSX1","LCMT1"
"ACSL6","AL133338.1","PPP1R3G","AL117329.1","MCUB","SFT2D1","AP1S3",NA,NA,NA,"PORCN","AC142472.1"
"SLC22A5","SLC6A9","PAK1IP1","AL353747.3","AC109347.2","FGFR1OP","MAPK13",NA,NA,NA,"AC232271.1","CD3EAP"
"SEPTIN8","RUNDC1","CD83","AC026748.3","ZGRF1","GPR146","AC018553.1",NA,NA,NA,"IQSEC2","IL31"
"CDC25C","AC010719.1","HIST1H3H","AC092296.1","SYNPO2","C7orf31","AL136304.1",NA,NA,NA,"ATAD3C","RAD51D"
"SNHG4","REEP2","MCCD1","RGS2","TBC1D9","FKBP14","APOBEC3G",NA,NA,NA,"MTMR11","STS"
"SPATA24","NEMP1","C6orf47","AP000873.2","INPP4B","GARS-DT","NOTCH2NLC",NA,NA,NA,"PAQR6","TXLNG"
"AC244517.1","TNFRSF25","AL662884.3","RHOH","EDNRA","HECW1","DALRD3",NA,NA,NA,"ID2-AS1","RARG"
