"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"TREML1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC034198.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FCAMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MBD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPBP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC104695.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCC5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL360270.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC02610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYTL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC004832.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC079380.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CPPED1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SSC5D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC021979.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC009148.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC068196.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC005487.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL158212.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SCN2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HHIPL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL132656.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC138932.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC66A1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC034139.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL163953.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CFAP97D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL2RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ING4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOX15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LRP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL031848.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC012236.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ODF3L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RBMXL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL451074.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HASPIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USP10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MRPL20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC019069.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL117335.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLIN4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL391427.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IGFL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEM30A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NPY1R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PTOV1-AS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NT5C3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC16A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MRPL36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHST13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC-PINT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TGFB2-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RMND5A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC108693.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARHGAP44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC084824.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PROS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC091544.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAM186B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TSEN34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LNCSRLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MRPL50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC107398.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC137932.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL136985.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLHL10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP001372.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PKDREJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCL6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC007326.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CDCA7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL157911.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTTP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCF2L-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAB7A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UGT1A6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LHFPL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SNX27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C8orf48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC084819.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC023790.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC137590.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANGPTL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL512288.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IAPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GALT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRHDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HHIP-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PCDHGB6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PEPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP001048.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST1H1E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARRDC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC107959.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FP325335.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC018953.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUBB4B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC067930.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP003557.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEM242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NUS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC107222.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LHFPL3-AS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZKSCAN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC064807.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENO1-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAM110C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC079313.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KCNJ2-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KCNK13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACSL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAPK15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLEC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PNISR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL391730.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC00630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAM178B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC105020.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIMP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEM51-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC013553.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC096996.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC025259.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRAV6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EIF2S3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC016526.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL356966.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL031432.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC106845.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL591506.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC083900.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL162412.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC010997.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC096711.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GNAT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LETM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RTRAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC093307.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAALC-AS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRLF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADGRL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL157935.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITGB8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC00487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUFM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MMP2-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLX-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL589935.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPOPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC104662.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPP2CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TTLL9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UGT1A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL590062.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IARS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC090186.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCDC15-DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SURF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYI-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CIDEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC105285.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OGDH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD300E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RBM20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NDUFV2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TTC38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARPC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC004597.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC012313.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC027601.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEZ6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTRA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC00426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELAVL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP001429.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C20orf204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC005993.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRRT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMCO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST2H4B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RGMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NBEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAGLROS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL136317.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC026333.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC016571.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL353608.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL109806.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CENPJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL691447.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISLR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL589765.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERMN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC006017.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC010528.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PIK3IP1-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PSPC1-AS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FGF8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC244090.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACLY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PDCD1LG2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIX1L-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SC5D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC005520.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EXOSC8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL132639.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPL36A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CR936218.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TACR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL353151.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC027237.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARGLU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC007406.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Z99127.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL139234.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLHL35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC005479.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC068234.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC012459.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC02029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCF21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RFX6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC119427.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC141002.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GALNT8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC006041.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC092535.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MPDU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRAV13-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRSS57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC090579.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC079313.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LMO7-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCT8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C19orf33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAM167A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CSAG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC52A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC006206.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC010504.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPS10-NUDT3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC009229.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPHN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADIRF-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC6A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL137186.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLEKHF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC023421.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNF220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL356489.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL391261.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL512598.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL451085.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSGN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYLPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL162426.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LY6H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Z97192.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MED28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC00645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL451123.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STK32A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APOBEC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YPEL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSFX3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LONP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLYCD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PCDHGA5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC021752.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL139089.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL160269.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRIM29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KRT9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GNAT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL137246.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC006116.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NRIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC00114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14orf180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARL6IP5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC25A21-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL157394.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WDR33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1orf105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRKDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL353764.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PFDN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC109454.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL139023.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEOX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CXCL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC002044.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC104561.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LTF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NFU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC00960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Z82217.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WDR86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RBM8A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC104024.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BX323043.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC008892.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMPD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAGEB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GPRIN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POLR2J2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL139254.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QDPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC011008.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC079447.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BX322562.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC092139.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLDN7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
