"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9"
NA,NA,NA,NA,NA,NA,NA,"SSSCA1-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"RTF1",NA
NA,NA,NA,NA,NA,NA,NA,"MICALL2",NA
NA,NA,NA,NA,NA,NA,NA,"AL078581.2",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF525",NA
NA,NA,NA,NA,NA,NA,NA,"SMAD1",NA
NA,NA,NA,NA,NA,NA,NA,"FAM30A",NA
NA,NA,NA,NA,NA,NA,NA,"COG6",NA
NA,NA,NA,NA,NA,NA,NA,"ADARB1",NA
NA,NA,NA,NA,NA,NA,NA,"EPB41",NA
NA,NA,NA,NA,NA,NA,NA,"NCKAP5L",NA
NA,NA,NA,NA,NA,NA,NA,"MIS12",NA
NA,NA,NA,NA,NA,NA,NA,"RBFOX2",NA
NA,NA,NA,NA,NA,NA,NA,"KLHDC3",NA
NA,NA,NA,NA,NA,NA,NA,"MORN3",NA
NA,NA,NA,NA,NA,NA,NA,"DIS3L2",NA
NA,NA,NA,NA,NA,NA,NA,"TLE3",NA
NA,NA,NA,NA,NA,NA,NA,"ITGA5",NA
NA,NA,NA,NA,NA,NA,NA,"ADA2",NA
NA,NA,NA,NA,NA,NA,NA,"THAP12",NA
NA,NA,NA,NA,NA,NA,NA,"SLC30A6",NA
NA,NA,NA,NA,NA,NA,NA,"POGZ",NA
NA,NA,NA,NA,NA,NA,NA,"Z69706.1",NA
NA,NA,NA,NA,NA,NA,NA,"FBXL19",NA
NA,NA,NA,NA,NA,NA,NA,"FOSL1",NA
NA,NA,NA,NA,NA,NA,NA,"APLNR",NA
NA,NA,NA,NA,NA,NA,NA,"B3GALT5-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"AC090114.2",NA
NA,NA,NA,NA,NA,NA,NA,"MED6",NA
NA,NA,NA,NA,NA,NA,NA,"BMP5",NA
NA,NA,NA,NA,NA,NA,NA,"TRBV21-1",NA
NA,NA,NA,NA,NA,NA,NA,"GK5",NA
NA,NA,NA,NA,NA,NA,NA,"RAP1B",NA
NA,NA,NA,NA,NA,NA,NA,"NOL9",NA
NA,NA,NA,NA,NA,NA,NA,"NBPF11",NA
NA,NA,NA,NA,NA,NA,NA,"ANXA11",NA
NA,NA,NA,NA,NA,NA,NA,"ZBTB48",NA
NA,NA,NA,NA,NA,NA,NA,"MYCBP2",NA
NA,NA,NA,NA,NA,NA,NA,"AC131238.1",NA
NA,NA,NA,NA,NA,NA,NA,"TMA7",NA
NA,NA,NA,NA,NA,NA,NA,"AC127502.2",NA
NA,NA,NA,NA,NA,NA,NA,"PRR12",NA
NA,NA,NA,NA,NA,NA,NA,"H3F3B",NA
NA,NA,NA,NA,NA,NA,NA,"FGD1",NA
NA,NA,NA,NA,NA,NA,NA,"MOB4",NA
NA,NA,NA,NA,NA,NA,NA,"STX7",NA
NA,NA,NA,NA,NA,NA,NA,"AC005083.1",NA
NA,NA,NA,NA,NA,NA,NA,"OST4",NA
NA,NA,NA,NA,NA,NA,NA,"CD1B",NA
NA,NA,NA,NA,NA,NA,NA,"ST7-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"PGAP1",NA
NA,NA,NA,NA,NA,NA,NA,"TNP1",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF467",NA
NA,NA,NA,NA,NA,NA,NA,"SMDT1",NA
NA,NA,NA,NA,NA,NA,NA,"PIM1",NA
NA,NA,NA,NA,NA,NA,NA,"NID1",NA
NA,NA,NA,NA,NA,NA,NA,"TMEM87A",NA
NA,NA,NA,NA,NA,NA,NA,"EDC3",NA
NA,NA,NA,NA,NA,NA,NA,"CCZ1",NA
NA,NA,NA,NA,NA,NA,NA,"AC097637.3",NA
NA,NA,NA,NA,NA,NA,NA,"ATP2A3",NA
NA,NA,NA,NA,NA,NA,NA,"LSM8",NA
NA,NA,NA,NA,NA,NA,NA,"C7orf26",NA
NA,NA,NA,NA,NA,NA,NA,"SS18L2",NA
NA,NA,NA,NA,NA,NA,NA,"AL353764.1",NA
NA,NA,NA,NA,NA,NA,NA,"RASD2",NA
NA,NA,NA,NA,NA,NA,NA,"RHOQ",NA
NA,NA,NA,NA,NA,NA,NA,"AC008035.1",NA
NA,NA,NA,NA,NA,NA,NA,"HSPB11",NA
NA,NA,NA,NA,NA,NA,NA,"RAP1A",NA
NA,NA,NA,NA,NA,NA,NA,"TOP2B",NA
NA,NA,NA,NA,NA,NA,NA,"LCA5L",NA
NA,NA,NA,NA,NA,NA,NA,"PIP4K2B",NA
NA,NA,NA,NA,NA,NA,NA,"TACSTD2",NA
NA,NA,NA,NA,NA,NA,NA,"WAC-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"ACYP1",NA
NA,NA,NA,NA,NA,NA,NA,"IGHG3",NA
NA,NA,NA,NA,NA,NA,NA,"RNF216",NA
NA,NA,NA,NA,NA,NA,NA,"HTRA2",NA
NA,NA,NA,NA,NA,NA,NA,"TBC1D5",NA
NA,NA,NA,NA,NA,NA,NA,"EVL",NA
NA,NA,NA,NA,NA,NA,NA,"RBMS3",NA
NA,NA,NA,NA,NA,NA,NA,"LINC02533",NA
NA,NA,NA,NA,NA,NA,NA,"NCBP1",NA
NA,NA,NA,NA,NA,NA,NA,"RAB14",NA
NA,NA,NA,NA,NA,NA,NA,"CLCF1",NA
NA,NA,NA,NA,NA,NA,NA,"VSIG10L",NA
NA,NA,NA,NA,NA,NA,NA,"AC018647.1",NA
NA,NA,NA,NA,NA,NA,NA,"PLPPR2",NA
NA,NA,NA,NA,NA,NA,NA,"AJAP1",NA
NA,NA,NA,NA,NA,NA,NA,"DUSP15",NA
NA,NA,NA,NA,NA,NA,NA,"SGSM3",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF649",NA
NA,NA,NA,NA,NA,NA,NA,"LINC01534",NA
NA,NA,NA,NA,NA,NA,NA,"ITM2B",NA
NA,NA,NA,NA,NA,NA,NA,"IGHV4-34",NA
NA,NA,NA,NA,NA,NA,NA,"MZB1",NA
NA,NA,NA,NA,NA,NA,NA,"ELOVL1",NA
NA,NA,NA,NA,NA,NA,NA,"KIN",NA
NA,NA,NA,NA,NA,NA,NA,"OR52N4",NA
NA,NA,NA,NA,NA,NA,NA,"TLN1",NA
NA,NA,NA,NA,NA,NA,NA,"SOS1-IT1",NA
NA,NA,NA,NA,NA,NA,NA,"DHX58",NA
NA,NA,NA,NA,NA,NA,NA,"FASLG",NA
NA,NA,NA,NA,NA,NA,NA,"AC132217.2",NA
NA,NA,NA,NA,NA,NA,NA,"PIP4P1",NA
NA,NA,NA,NA,NA,NA,NA,"CNOT3",NA
NA,NA,NA,NA,NA,NA,NA,"AL355490.1",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF619",NA
NA,NA,NA,NA,NA,NA,NA,"HPCAL4",NA
NA,NA,NA,NA,NA,NA,NA,"ANKRD39",NA
NA,NA,NA,NA,NA,NA,NA,"BLZF1",NA
NA,NA,NA,NA,NA,NA,NA,"ARHGAP29",NA
NA,NA,NA,NA,NA,NA,NA,"CUL5",NA
NA,NA,NA,NA,NA,NA,NA,"AC253536.6",NA
NA,NA,NA,NA,NA,NA,NA,"SENP2",NA
NA,NA,NA,NA,NA,NA,NA,"RBM33",NA
NA,NA,NA,NA,NA,NA,NA,"CDC37",NA
NA,NA,NA,NA,NA,NA,NA,"MRC1",NA
NA,NA,NA,NA,NA,NA,NA,"AP1B1",NA
NA,NA,NA,NA,NA,NA,NA,"CLDN11",NA
NA,NA,NA,NA,NA,NA,NA,"LINC00894",NA
NA,NA,NA,NA,NA,NA,NA,"P2RX1",NA
NA,NA,NA,NA,NA,NA,NA,"ILK",NA
NA,NA,NA,NA,NA,NA,NA,"PRAF2",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF526",NA
NA,NA,NA,NA,NA,NA,NA,"ICAM3",NA
NA,NA,NA,NA,NA,NA,NA,"GGT2",NA
NA,NA,NA,NA,NA,NA,NA,"CCDC88A",NA
NA,NA,NA,NA,NA,NA,NA,"HOXD10",NA
NA,NA,NA,NA,NA,NA,NA,"GATAD2A",NA
NA,NA,NA,NA,NA,NA,NA,"SLC35A5",NA
NA,NA,NA,NA,NA,NA,NA,"ZFYVE16",NA
NA,NA,NA,NA,NA,NA,NA,"PPP3CA",NA
NA,NA,NA,NA,NA,NA,NA,"RPS14",NA
NA,NA,NA,NA,NA,NA,NA,"HIPK3",NA
NA,NA,NA,NA,NA,NA,NA,"BBS9",NA
NA,NA,NA,NA,NA,NA,NA,"HDAC1",NA
NA,NA,NA,NA,NA,NA,NA,"TNFSF10",NA
NA,NA,NA,NA,NA,NA,NA,"NCALD",NA
NA,NA,NA,NA,NA,NA,NA,"KMT2A",NA
NA,NA,NA,NA,NA,NA,NA,"SMCR8",NA
NA,NA,NA,NA,NA,NA,NA,"ENO4",NA
NA,NA,NA,NA,NA,NA,NA,"AC007614.1",NA
NA,NA,NA,NA,NA,NA,NA,"PLAA",NA
NA,NA,NA,NA,NA,NA,NA,"HNRNPLL",NA
NA,NA,NA,NA,NA,NA,NA,"SINHCAF",NA
NA,NA,NA,NA,NA,NA,NA,"MICAL1",NA
NA,NA,NA,NA,NA,NA,NA,"ZFR2",NA
NA,NA,NA,NA,NA,NA,NA,"C5AR1",NA
NA,NA,NA,NA,NA,NA,NA,"MED21",NA
NA,NA,NA,NA,NA,NA,NA,"PTMA",NA
NA,NA,NA,NA,NA,NA,NA,"DBNDD2",NA
NA,NA,NA,NA,NA,NA,NA,"ACOT1",NA
NA,NA,NA,NA,NA,NA,NA,"AC008397.1",NA
NA,NA,NA,NA,NA,NA,NA,"CHSY3",NA
NA,NA,NA,NA,NA,NA,NA,"DCTN3",NA
NA,NA,NA,NA,NA,NA,NA,"CCDC14",NA
NA,NA,NA,NA,NA,NA,NA,"FABP3",NA
NA,NA,NA,NA,NA,NA,NA,"PHF7",NA
NA,NA,NA,NA,NA,NA,NA,"OGFOD3",NA
NA,NA,NA,NA,NA,NA,NA,"AF131216.4",NA
NA,NA,NA,NA,NA,NA,NA,"ZBTB11",NA
NA,NA,NA,NA,NA,NA,NA,"HECW2-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"KPNA3",NA
NA,NA,NA,NA,NA,NA,NA,"TCIRG1",NA
NA,NA,NA,NA,NA,NA,NA,"PNRC2",NA
NA,NA,NA,NA,NA,NA,NA,"FES",NA
NA,NA,NA,NA,NA,NA,NA,"RAB28",NA
NA,NA,NA,NA,NA,NA,NA,"RNF25",NA
NA,NA,NA,NA,NA,NA,NA,"HIVEP1",NA
NA,NA,NA,NA,NA,NA,NA,"CD59",NA
NA,NA,NA,NA,NA,NA,NA,"RPA4",NA
NA,NA,NA,NA,NA,NA,NA,"EIF2B2",NA
NA,NA,NA,NA,NA,NA,NA,"ZSCAN16-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"SMARCA5",NA
NA,NA,NA,NA,NA,NA,NA,"PLCB2",NA
NA,NA,NA,NA,NA,NA,NA,"MAT2A",NA
NA,NA,NA,NA,NA,NA,NA,"KRT73-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"RHOG",NA
NA,NA,NA,NA,NA,NA,NA,"AC080038.2",NA
NA,NA,NA,NA,NA,NA,NA,"NDUFB1",NA
NA,NA,NA,NA,NA,NA,NA,"TMEM232",NA
NA,NA,NA,NA,NA,NA,NA,"JPH4",NA
NA,NA,NA,NA,NA,NA,NA,"AC099518.6",NA
NA,NA,NA,NA,NA,NA,NA,"ZBTB7B",NA
NA,NA,NA,NA,NA,NA,NA,"ATP6V1B2",NA
NA,NA,NA,NA,NA,NA,NA,"SLC6A17",NA
NA,NA,NA,NA,NA,NA,NA,"GPC1",NA
NA,NA,NA,NA,NA,NA,NA,"HLX",NA
NA,NA,NA,NA,NA,NA,NA,"TSPAN4",NA
NA,NA,NA,NA,NA,NA,NA,"DEPP1",NA
NA,NA,NA,NA,NA,NA,NA,"AC107959.1",NA
NA,NA,NA,NA,NA,NA,NA,"ARMC8",NA
NA,NA,NA,NA,NA,NA,NA,"AL158832.2",NA
NA,NA,NA,NA,NA,NA,NA,"IL23A",NA
NA,NA,NA,NA,NA,NA,NA,"EXOC3-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"MTHFSD",NA
NA,NA,NA,NA,NA,NA,NA,"MYL6",NA
NA,NA,NA,NA,NA,NA,NA,"EYA2",NA
NA,NA,NA,NA,NA,NA,NA,"SECISBP2",NA
NA,NA,NA,NA,NA,NA,NA,"VPS8",NA
NA,NA,NA,NA,NA,NA,NA,"LINC00402",NA
NA,NA,NA,NA,NA,NA,NA,"FAM104A",NA
NA,NA,NA,NA,NA,NA,NA,"CTDNEP1",NA
NA,NA,NA,NA,NA,NA,NA,"IP6K1",NA
NA,NA,NA,NA,NA,NA,NA,"PTPRB",NA
NA,NA,NA,NA,NA,NA,NA,"AFAP1",NA
NA,NA,NA,NA,NA,NA,NA,"CCL21",NA
NA,NA,NA,NA,NA,NA,NA,"CNOT2",NA
NA,NA,NA,NA,NA,NA,NA,"PRKACB",NA
NA,NA,NA,NA,NA,NA,NA,"TBC1D4",NA
NA,NA,NA,NA,NA,NA,NA,"DENND6A",NA
NA,NA,NA,NA,NA,NA,NA,"STX8",NA
NA,NA,NA,NA,NA,NA,NA,"CSNK1E",NA
NA,NA,NA,NA,NA,NA,NA,"BCDIN3D",NA
NA,NA,NA,NA,NA,NA,NA,"TRAV13-2",NA
NA,NA,NA,NA,NA,NA,NA,"DCC",NA
NA,NA,NA,NA,NA,NA,NA,"MZT2B",NA
NA,NA,NA,NA,NA,NA,NA,"EVC",NA
NA,NA,NA,NA,NA,NA,NA,"RPL14",NA
NA,NA,NA,NA,NA,NA,NA,"RSPH3",NA
NA,NA,NA,NA,NA,NA,NA,"ATP5F1E",NA
NA,NA,NA,NA,NA,NA,NA,"FAM216B",NA
NA,NA,NA,NA,NA,NA,NA,"UCKL1-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"IDS",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF442",NA
NA,NA,NA,NA,NA,NA,NA,"FEM1B",NA
NA,NA,NA,NA,NA,NA,NA,"AC010136.1",NA
NA,NA,NA,NA,NA,NA,NA,"CCDC8",NA
NA,NA,NA,NA,NA,NA,NA,"AP003419.2",NA
NA,NA,NA,NA,NA,NA,NA,"TNFAIP2",NA
NA,NA,NA,NA,NA,NA,NA,"MELTF",NA
NA,NA,NA,NA,NA,NA,NA,"ERC1",NA
NA,NA,NA,NA,NA,NA,NA,"NAALADL1",NA
NA,NA,NA,NA,NA,NA,NA,"DES",NA
NA,NA,NA,NA,NA,NA,NA,"XPO6",NA
NA,NA,NA,NA,NA,NA,NA,"COL4A4",NA
NA,NA,NA,NA,NA,NA,NA,"FUNDC2",NA
NA,NA,NA,NA,NA,NA,NA,"NOS3",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF319",NA
NA,NA,NA,NA,NA,NA,NA,"AP000569.1",NA
NA,NA,NA,NA,NA,NA,NA,"SH3GL2",NA
NA,NA,NA,NA,NA,NA,NA,"AL022341.2",NA
NA,NA,NA,NA,NA,NA,NA,"TRPA1",NA
NA,NA,NA,NA,NA,NA,NA,"HTR7",NA
NA,NA,NA,NA,NA,NA,NA,"BAG1",NA
NA,NA,NA,NA,NA,NA,NA,"RPS5",NA
NA,NA,NA,NA,NA,NA,NA,"MCF2L-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"NFYC",NA
NA,NA,NA,NA,NA,NA,NA,"NOL10",NA
NA,NA,NA,NA,NA,NA,NA,"LINC02289",NA
NA,NA,NA,NA,NA,NA,NA,"STN1",NA
NA,NA,NA,NA,NA,NA,NA,"SLC2A1-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"AP001783.1",NA
NA,NA,NA,NA,NA,NA,NA,"AC079907.1",NA
NA,NA,NA,NA,NA,NA,NA,"TERB2",NA
NA,NA,NA,NA,NA,NA,NA,"CD99L2",NA
NA,NA,NA,NA,NA,NA,NA,"DNAJC8",NA
NA,NA,NA,NA,NA,NA,NA,"NEIL2",NA
NA,NA,NA,NA,NA,NA,NA,"HNRNPD",NA
NA,NA,NA,NA,NA,NA,NA,"ELF1",NA
NA,NA,NA,NA,NA,NA,NA,"AL445231.1",NA
NA,NA,NA,NA,NA,NA,NA,"HNRNPK",NA
NA,NA,NA,NA,NA,NA,NA,"NEU3",NA
NA,NA,NA,NA,NA,NA,NA,"AIRE",NA
NA,NA,NA,NA,NA,NA,NA,"CCDC28A",NA
NA,NA,NA,NA,NA,NA,NA,"COL5A1",NA
NA,NA,NA,NA,NA,NA,NA,"ADPGK-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"RIN1",NA
NA,NA,NA,NA,NA,NA,NA,"RIC8B",NA
NA,NA,NA,NA,NA,NA,NA,"MMP9",NA
NA,NA,NA,NA,NA,NA,NA,"CDKN2AIP",NA
NA,NA,NA,NA,NA,NA,NA,"ATP5MC2",NA
NA,NA,NA,NA,NA,NA,NA,"LINC02547",NA
NA,NA,NA,NA,NA,NA,NA,"FBXO43",NA
NA,NA,NA,NA,NA,NA,NA,"SMG7",NA
NA,NA,NA,NA,NA,NA,NA,"RASGRP3",NA
NA,NA,NA,NA,NA,NA,NA,"ENO2",NA
NA,NA,NA,NA,NA,NA,NA,"SF3A3",NA
NA,NA,NA,NA,NA,NA,NA,"TSGA10IP",NA
NA,NA,NA,NA,NA,NA,NA,"LINC01560",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF121",NA
NA,NA,NA,NA,NA,NA,NA,"KCNQ1",NA
NA,NA,NA,NA,NA,NA,NA,"ALOX15",NA
NA,NA,NA,NA,NA,NA,NA,"CYFIP2",NA
NA,NA,NA,NA,NA,NA,NA,"CDKN2D",NA
NA,NA,NA,NA,NA,NA,NA,"MOSPD1",NA
NA,NA,NA,NA,NA,NA,NA,"DEDD",NA
NA,NA,NA,NA,NA,NA,NA,"AC132938.6",NA
NA,NA,NA,NA,NA,NA,NA,"LINC01094",NA
NA,NA,NA,NA,NA,NA,NA,"C4orf36",NA
NA,NA,NA,NA,NA,NA,NA,"COL28A1",NA
NA,NA,NA,NA,NA,NA,NA,"AC079807.1",NA
NA,NA,NA,NA,NA,NA,NA,"SGCA",NA
NA,NA,NA,NA,NA,NA,NA,"C1QA",NA
NA,NA,NA,NA,NA,NA,NA,"TAC3",NA
NA,NA,NA,NA,NA,NA,NA,"USP20",NA
NA,NA,NA,NA,NA,NA,NA,"SKA1",NA
NA,NA,NA,NA,NA,NA,NA,"GAS1RR",NA
NA,NA,NA,NA,NA,NA,NA,"HLA-DQB1-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"NT5M",NA
NA,NA,NA,NA,NA,NA,NA,"AC113361.1",NA
NA,NA,NA,NA,NA,NA,NA,"ANGEL2",NA
NA,NA,NA,NA,NA,NA,NA,"KLHL6",NA
NA,NA,NA,NA,NA,NA,NA,"HAR1B",NA
NA,NA,NA,NA,NA,NA,NA,"GJC1",NA
NA,NA,NA,NA,NA,NA,NA,"BBS1",NA
NA,NA,NA,NA,NA,NA,NA,"ITGB8",NA
NA,NA,NA,NA,NA,NA,NA,"A2M-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"NKTR",NA
NA,NA,NA,NA,NA,NA,NA,"ARF4",NA
NA,NA,NA,NA,NA,NA,NA,"AC005911.1",NA
NA,NA,NA,NA,NA,NA,NA,"MED12",NA
NA,NA,NA,NA,NA,NA,NA,"FKBP8",NA
NA,NA,NA,NA,NA,NA,NA,"RSBN1L",NA
NA,NA,NA,NA,NA,NA,NA,"NPAT",NA
NA,NA,NA,NA,NA,NA,NA,"DGCR8",NA
NA,NA,NA,NA,NA,NA,NA,"ITPKC",NA
NA,NA,NA,NA,NA,NA,NA,"NKD2",NA
NA,NA,NA,NA,NA,NA,NA,"LINC02027",NA
NA,NA,NA,NA,NA,NA,NA,"LINC01624",NA
NA,NA,NA,NA,NA,NA,NA,"TRAV38-2DV8",NA
NA,NA,NA,NA,NA,NA,NA,"IQCB1",NA
NA,NA,NA,NA,NA,NA,NA,"TAFA2",NA
NA,NA,NA,NA,NA,NA,NA,"TCEANC2",NA
NA,NA,NA,NA,NA,NA,NA,"MESP1",NA
NA,NA,NA,NA,NA,NA,NA,"FLACC1",NA
NA,NA,NA,NA,NA,NA,NA,"ANKZF1",NA
NA,NA,NA,NA,NA,NA,NA,"SYNDIG1L",NA
NA,NA,NA,NA,NA,NA,NA,"EED",NA
NA,NA,NA,NA,NA,NA,NA,"SLC12A9",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF224",NA
NA,NA,NA,NA,NA,NA,NA,"C1QTNF3",NA
NA,NA,NA,NA,NA,NA,NA,"ZFYVE1",NA
NA,NA,NA,NA,NA,NA,NA,"AP000424.1",NA
NA,NA,NA,NA,NA,NA,NA,"SESN1",NA
NA,NA,NA,NA,NA,NA,NA,"CCR5",NA
NA,NA,NA,NA,NA,NA,NA,"FAM111A",NA
NA,NA,NA,NA,NA,NA,NA,"LINC02009",NA
NA,NA,NA,NA,NA,NA,NA,"SUGT1",NA
NA,NA,NA,NA,NA,NA,NA,"PPFIBP2",NA
NA,NA,NA,NA,NA,NA,NA,"DDX42",NA
NA,NA,NA,NA,NA,NA,NA,"CHCHD6",NA
NA,NA,NA,NA,NA,NA,NA,"SFRP2",NA
NA,NA,NA,NA,NA,NA,NA,"SNHG15",NA
NA,NA,NA,NA,NA,NA,NA,"YTHDF1",NA
NA,NA,NA,NA,NA,NA,NA,"AL117339.4",NA
NA,NA,NA,NA,NA,NA,NA,"TAP1",NA
NA,NA,NA,NA,NA,NA,NA,"HCG27",NA
NA,NA,NA,NA,NA,NA,NA,"AL118511.1",NA
NA,NA,NA,NA,NA,NA,NA,"IDUA",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF114",NA
NA,NA,NA,NA,NA,NA,NA,"PIK3R3",NA
NA,NA,NA,NA,NA,NA,NA,"DBT",NA
NA,NA,NA,NA,NA,NA,NA,"NXPH2",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF12",NA
NA,NA,NA,NA,NA,NA,NA,"LTBP2",NA
NA,NA,NA,NA,NA,NA,NA,"EFCAB13",NA
NA,NA,NA,NA,NA,NA,NA,"IGLV3-21",NA
NA,NA,NA,NA,NA,NA,NA,"PLB1",NA
NA,NA,NA,NA,NA,NA,NA,"PTBP2",NA
NA,NA,NA,NA,NA,NA,NA,"GALNT17",NA
NA,NA,NA,NA,NA,NA,NA,"EBF3",NA
NA,NA,NA,NA,NA,NA,NA,"AC105345.1",NA
NA,NA,NA,NA,NA,NA,NA,"AC006460.2",NA
NA,NA,NA,NA,NA,NA,NA,"CHPF",NA
NA,NA,NA,NA,NA,NA,NA,"JAM3",NA
NA,NA,NA,NA,NA,NA,NA,"SLC26A4",NA
NA,NA,NA,NA,NA,NA,NA,"MIEF2",NA
NA,NA,NA,NA,NA,NA,NA,"TOMM7",NA
NA,NA,NA,NA,NA,NA,NA,"LAMA2",NA
NA,NA,NA,NA,NA,NA,NA,"AC011379.2",NA
NA,NA,NA,NA,NA,NA,NA,"ERI1",NA
NA,NA,NA,NA,NA,NA,NA,"PDLIM4",NA
NA,NA,NA,NA,NA,NA,NA,"MARCKSL1",NA
NA,NA,NA,NA,NA,NA,NA,"TERC",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF598",NA
NA,NA,NA,NA,NA,NA,NA,"ELOA",NA
NA,NA,NA,NA,NA,NA,NA,"EDEM2",NA
NA,NA,NA,NA,NA,NA,NA,"SLC25A2",NA
NA,NA,NA,NA,NA,NA,NA,"KIAA1217",NA
NA,NA,NA,NA,NA,NA,NA,"MFSD1",NA
NA,NA,NA,NA,NA,NA,NA,"GABPA",NA
NA,NA,NA,NA,NA,NA,NA,"AL139022.2",NA
NA,NA,NA,NA,NA,NA,NA,"NAPSA",NA
NA,NA,NA,NA,NA,NA,NA,"APLF",NA
NA,NA,NA,NA,NA,NA,NA,"JMJD1C",NA
NA,NA,NA,NA,NA,NA,NA,"SEC61A2",NA
NA,NA,NA,NA,NA,NA,NA,"SNX27",NA
NA,NA,NA,NA,NA,NA,NA,"CLBA1",NA
NA,NA,NA,NA,NA,NA,NA,"ANGPT4",NA
NA,NA,NA,NA,NA,NA,NA,"HNRNPA3",NA
NA,NA,NA,NA,NA,NA,NA,"ABCF2",NA
NA,NA,NA,NA,NA,NA,NA,"RBMX2",NA
NA,NA,NA,NA,NA,NA,NA,"PHF21B",NA
NA,NA,NA,NA,NA,NA,NA,"AL139246.5",NA
NA,NA,NA,NA,NA,NA,NA,"EMC4",NA
NA,NA,NA,NA,NA,NA,NA,"SMCO4",NA
NA,NA,NA,NA,NA,NA,NA,"AC092268.2",NA
NA,NA,NA,NA,NA,NA,NA,"AC105429.1",NA
NA,NA,NA,NA,NA,NA,NA,"EEF1E1",NA
NA,NA,NA,NA,NA,NA,NA,"SLITRK2",NA
NA,NA,NA,NA,NA,NA,NA,"ANAPC2",NA
NA,NA,NA,NA,NA,NA,NA,"FIBP",NA
NA,NA,NA,NA,NA,NA,NA,"SESTD1",NA
NA,NA,NA,NA,NA,NA,NA,"DPH6",NA
NA,NA,NA,NA,NA,NA,NA,"MICA",NA
NA,NA,NA,NA,NA,NA,NA,"PIGS",NA
NA,NA,NA,NA,NA,NA,NA,"FRY",NA
NA,NA,NA,NA,NA,NA,NA,"CCM2",NA
NA,NA,NA,NA,NA,NA,NA,"EGFL7",NA
NA,NA,NA,NA,NA,NA,NA,"AL512598.1",NA
NA,NA,NA,NA,NA,NA,NA,"AC019069.1",NA
NA,NA,NA,NA,NA,NA,NA,"RPL30",NA
NA,NA,NA,NA,NA,NA,NA,"HCFC1R1",NA
NA,NA,NA,NA,NA,NA,NA,"PLEKHB2",NA
NA,NA,NA,NA,NA,NA,NA,"WNT2",NA
NA,NA,NA,NA,NA,NA,NA,"NAA30",NA
NA,NA,NA,NA,NA,NA,NA,"PIAS1",NA
NA,NA,NA,NA,NA,NA,NA,"PKN3",NA
NA,NA,NA,NA,NA,NA,NA,"FUT11",NA
NA,NA,NA,NA,NA,NA,NA,"AL049838.1",NA
NA,NA,NA,NA,NA,NA,NA,"TEX22",NA
NA,NA,NA,NA,NA,NA,NA,"CALD1",NA
NA,NA,NA,NA,NA,NA,NA,"CDC42EP2",NA
NA,NA,NA,NA,NA,NA,NA,"CLEC4D",NA
NA,NA,NA,NA,NA,NA,NA,"SNURF",NA
NA,NA,NA,NA,NA,NA,NA,"EIF2AK4",NA
NA,NA,NA,NA,NA,NA,NA,"RPS9",NA
NA,NA,NA,NA,NA,NA,NA,"TRMT12",NA
NA,NA,NA,NA,NA,NA,NA,"SYNGR2",NA
NA,NA,NA,NA,NA,NA,NA,"FYTTD1",NA
NA,NA,NA,NA,NA,NA,NA,"RETREG1",NA
NA,NA,NA,NA,NA,NA,NA,"TCTN3",NA
NA,NA,NA,NA,NA,NA,NA,"PAOX",NA
NA,NA,NA,NA,NA,NA,NA,"LAMC1",NA
NA,NA,NA,NA,NA,NA,NA,"HELZ2",NA
NA,NA,NA,NA,NA,NA,NA,"PPIH",NA
NA,NA,NA,NA,NA,NA,NA,"WDTC1",NA
NA,NA,NA,NA,NA,NA,NA,"RPL36",NA
NA,NA,NA,NA,NA,NA,NA,"ALPL",NA
NA,NA,NA,NA,NA,NA,NA,"DCDC1",NA
NA,NA,NA,NA,NA,NA,NA,"AC012358.3",NA
NA,NA,NA,NA,NA,NA,NA,"GMDS-DT",NA
NA,NA,NA,NA,NA,NA,NA,"SPRED2",NA
NA,NA,NA,NA,NA,NA,NA,"SAMD11",NA
