"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
"MTX2","GPAT3","HOXB3","STK32C","MAP11","NPC1L1","AFG1L","TRIM35",NA,NA,"LINC02362"
"PTS","ABCG2","METTL2A","DICER1-AS1","CLDN15","RABGEF1","TRIM32","ZNF324",NA,NA,"CEP72"
"HEATR6","AC104785.1","CEP112","DTWD2","LINC01004","CROT","SNAI3","MSH5",NA,NA,"BRIX1"
"TTC21A","LINC02428","CDK3","WDR44","RINT1","SLC25A40","SERPINB8","EFNB2",NA,NA,"NUP155"
"PLA2G5","HADH","BIRC5","ANKEF1","IFRD1","SDHAF3","MREG","PRUNE2",NA,NA,"FBXO4"
"CREM","RPL34-AS1","PIEZO2","GALNT12","POT1-AS1","GJC3","SKP2","DAGLA",NA,NA,"AC008875.3"
"ETNPPL","SPATA5","CEP192","PRKAA2","AGBL3","MOSPD3","CD274","FCAMR",NA,NA,"ANXA2R"
"ZW10","FAT4","ANKRD29","APBA1","CYREN","LRWD1","AL356417.2","TSPAN15",NA,NA,"PDE4D"
"GMNN","HSPA4L","SPC24","METTL18","FMC1","GPR85","DUSP7","NUDT12",NA,NA,"NDUFAF2"
"LINC01943","DCLK2","COMP","CARD11","ADCK2","TSPAN12","CYP2U1","SHISAL2A",NA,NA,"PTCD2"
"BMP6","TMEM154","ZNF430","NSMCE2","TMEM178B","ZNF800","KCNS3","TP53RK",NA,NA,"AC010245.2"
"WDR90","MSMO1","ZNF91","A4GALT","AC004918.1","BPGM","DENND2A","AC016065.1",NA,NA,"CCNH"
"C2orf42","ANXA10","GPATCH1","CLTRN","TCAF2","AC093673.1","CHRM3-AS2","WDYHV1",NA,NA,"CETN3"
"RARA-AS1","DDX60","AD000090.1","HES6","AC004889.1","ARHGEF5","MIOS","UTY",NA,NA,"RGMB-AS1"
"IGKV1-5","MFAP3L","ZNF420","AC093227.1","ZNF398","LRRC61","BLZF1","CEP250",NA,NA,"SEMA6A"
"TDRP","CEP44","ZNF570","AL118506.1","GIMAP8","GIMAP2","HRH2","TUSC1",NA,NA,"C5orf63"
"SURF6","VEGFC","KCNK6","CLEC12A","PRKAG2","NOS3","LYRM9","TMEM25",NA,NA,"PDLIM4"
"EIF2B2","AGA","C19orf47","ARHGEF35","LINC01003","CDK5","HAS2","DMRTA1",NA,NA,"SH3RF2"
"AMACR","AC107214.1","FKRP","AQP7","AC093726.2","PRKAG2-AS1","PKHD1L1","CLUAP1",NA,NA,"ADRB2"
"PODXL2","SLC25A4","LMTK3","PLCD1","AC100810.1","MFHAS1","TGM1","ATP23",NA,NA,"PCYOX1L"
"NINJ2","TLR3","CPT1C","PLEK2","PRAG1","GATA4","POC5","SLC46A1",NA,NA,"SLC26A2"
"TMEM229B","EXOC3-AS1","SIGLEC12","ATP7A","PINX1","TRMT9B","ZBTB46","SOX6",NA,NA,"ZNF300"
"TRIM68","AC116351.1","ZNF331","NKRF","XKR6","ADRA1A","ZSWIM9","CEP41",NA,NA,"EBF1"
"F2RL1","AC114291.1","LILRA6","AC009041.2","BLK","SCARA3","NEU4","AL080276.2",NA,NA,"PTTG1"
"CCBE1","DNAH5","ZNF749","ZMAT5","LPL","SCARA5","AP003117.1","CD200R1",NA,NA,"SLIT3"
"BTBD10","AGXT2","A1BG-AS1","AL034397.3","AC090197.1","HMBOX1","AC026462.3","ADCK1",NA,NA,"UBTD2"
"TPX2","PRLR","PLCB1","NAF1","ADAMDEC1","TMEM68","CHEK2","IGHMBP2",NA,NA,"PRR7"
"MON1A","GAPT","SLC24A3","FOXD2-AS1","RNF122","BHLHE22","TTK","XPNPEP2",NA,NA,"DOK3"
"HLTF","SHLD3","NINL","AC034236.2","DUSP26","MTFR1","SETD1B","CBLC",NA,NA,"FAM50B"
"AGAP9","MARVELD2","SAMHD1","EFHC1","ZNF703","LACTB2","CLIC5","VWCE",NA,NA,"F13A1"
"RFC4","ARHGEF28","LPIN3","ZNF141","FGFR1","TRIQK","OXCT1","ORC5",NA,NA,"ID4"
"AL135905.2","GCNT4","PMEPA1","GNPDA2","SPIDR","RBM12B","AC008443.5","SHB",NA,NA,"MRS2"
"TIMD4","SCAMP1-AS1","FP671120.7","TLR9","AC022034.1","INTS8","TDP2","BCL11A",NA,NA,"HIST1H2BG"
"PER2","ARSB","KCNE1","MCTP2","JPH1","C8orf37","COL26A1","SCML1",NA,NA,"PRSS16"
"GDF2","ATP6AP1L","AP001057.1","BMP2","MTERF3","MED30","MMP2-AS1","ZBED3",NA,NA,"ZSCAN9"
"ATAT1","EFNA5","DUXAP8","FMO4","ZHX2","COLEC10","LOXL3","LIG3",NA,NA,"PPP1R11"
"COPG2","AC012603.1","DUSP18","CNNM4","ATAD2","SNTB1","TIAM1","ELMOD3",NA,NA,"CYP21A2"
"AC034236.2","AC008549.1","HMGXB4","MIR4453HG","LRATD2","LINC00861","CCL23","ESS2",NA,NA,"B3GALT4"
"GUCY1A2","LVRN","TNRC6B","LRFN4","AC103706.1","TMEM71","GPR153","CNDP1",NA,NA,"PPARD"
"FAM117B","AC022101.1","AL031595.3","INTS9","AGO2","PYCR3","CCL3L1","FAM120C",NA,NA,"CPNE5"
"PPM1D","LMNB1","NUP50-DT","COA6","SLC45A4","EPPK1","RFWD3","DACT2",NA,NA,"MDGA1"
"ANGPT2","SOWAHA","MIRLET7BHG","CD109","UHRF2","MFSD3","SYTL3","CARD6",NA,NA,"MDFI"
"GGACT","LRRTM2","TLR7","PRRG1","KDM4C","MLLT3","C5orf51","ABCC10",NA,NA,"FRS3"
"ZNF846","SLC23A1","OFD1","CASP3","FOCAD","NOL6","ZBTB39","BAHD1",NA,NA,"C6orf226"
"EHD3","PCDHB10","POLA1","ZNF839","CAAP1","MYORG","AC005076.1","PDCD4-AS1",NA,NA,"RUNX2"
"DIPK2B","FBXO38","IQSEC2","TCEAL1","KIF24","ENHO","AL121944.1","SNAI2",NA,NA,"ENPP5"
"NUDT8","ADRA1B","ZMAT1","YDJC","PIGO","FXN","NPIPB13","CGREF1",NA,NA,"TNFRSF21"
"USP30","TENM2","UPF3B","ACKR3","SIT1","AGTPBP1","ABHD5","CCDC121",NA,NA,"MCM3"
"LINC01018","WWC1","RENBP","SCNN1D","EXOSC3","WNK2","TTC23","TMEM44",NA,NA,"TRAM2-AS1"
"SPRY2","GABRP","FCGR1B","AP003486.1","CBWD3","SLC35D2","OLFML2B","ENTPD7",NA,NA,"BAG2"
"SLC26A1","AC139493.2","TMEM158","KRT17","FAM122A","INVS","SYTL4","MRPL23",NA,NA,"RAB23"
"TRAPPC2B","FGFR4","DCP1A","ICOSLG","C9orf40","PHYHD1","FRAT2","ELOVL2",NA,NA,"COL12A1"
"VSTM4","ZNF354A","KCNMA1","AIF1L","GNA14","TOR1B","ALOX15B","ING3",NA,NA,"AL359715.1"
"CES3","ZNF879","MMP12","PTPN13","TLE4","MED27","C17orf80","HSPA14",NA,NA,"SMIM8"
"SOCS1","GMDS","KRR1","ZNF775","GKAP1","GTF3C4","NAA40","HSPA14",NA,NA,"UBE2J1"
"FHIT","RIPK1","SLC43A2","C1orf174","HABP4","INPP5E","INTS12","DMAC2",NA,NA,"USP45"
"CTPS1","RPP40","CD300LF","ARNTL","CDC14B","DIPK1B","AL844908.1","FBXO34",NA,NA,"SOBP"
"PDCD4-AS1","PPP1R3G","CCDC102B","LINC01128","FSD1L","CLIC3","CDHR1","ZCCHC3",NA,NA,"MOXD1"
"AC046134.2","GMPR","PCNT","AC087477.2","FKTN","RNF208","NPAT","WNK3",NA,NA,"AKAP12"
"CNIH4","NHLRC1","MT-ATP6","CCDC121","TMEM268","PNPLA7","MX2","SLC17A2",NA,NA,"IPCEF1"
"TRIM52-AS1","SLC17A4","RAB42","TPBG","MRRF","PRR26","HACD1","EIF5A2",NA,NA,"SMOC2"
"HES6","SLC17A1","PPP2R2C","WNK3","CRB2","AKR1C2","CCDC142","STAM2",NA,NA,"ERMARD"
"AC083798.2","HIST1H4J","WAKMAR2","PAXIP1-AS1","DNM1","ANKRD16","SH3RF1","STEAP1",NA,NA,"AC093627.4"
"ELOA-AS1","ZSCAN31","RP9","LIG1","SPACA9","USP6NL","SNX30","RGMB",NA,NA,"DNAAF5"
"SLC9A6","ZSCAN12","KRIT1","ZNF251","BRD3OS","FAM171A1","IFIT1","ATG101",NA,NA,"PSMG3-AS1"
"CNDP1","TRIM15","TNFSF15","EIPR1","WDR37","BMS1","HHAT","PRR34-AS1",NA,NA,"RBAK"
"DTX1","SAPCD1","C2CD2L","CCDC106","ITIH5","NRBF2","DDX58","INTS9",NA,NA,"THSD7A"
"MOCS1","HLA-DQB2","THAP2","KCNJ5","KIN","AC022387.2","ADNP-AS1","LDOC1",NA,NA,"ETV1"
"DACT2","ETV7","CKAP2","MINDY1","TRDMT1","LRRC20","RBM4B","KLC2",NA,NA,"TWIST1"
"TPCN2","KCNK17","AC006141.1","IFT80","VIM-AS1","ECD","PYROXD2","DUSP4",NA,NA,"C7orf31"
"HS3ST3B1","PPP2R5D","ZNF441","FAAH2","ZNF32","PPP3CB-AS1","C11orf45","IFT46",NA,NA,"HOTAIRM1"
"AC145207.3","MRPS18A","ZNF714","AC244090.1","AGAP4","LRMDA","LYG1","PTN",NA,NA,"AC018647.2"
"SIAH1","SUPT3H","SELE","AASDH","WASHC2A","AL731569.1","MEF2C-AS1","DTNA",NA,NA,"NME8"
"TIMM23B","CYP39A1","MITF","RBM23","EGR2","PLCE1","KCTD17","AC010186.3",NA,NA,"SFRP4"
"SLC2A13","AL138826.1","CD300C","TSPAN7","SPOCK2","TLL2","ADAT3","QSER1",NA,NA,"STARD3NL"
"OXT","TMEM14A","ADAM33","ELP3","KCNIP2","COX15","SAMD10","TRIM34",NA,NA,"SNHG15"
"RILPL1","LINC01564","LRRK2","WDSUB1","RPARP-AS1","SEC31B","CDON","ZBTB9",NA,NA,"ZNF107"
"GOLGA6L9","MLIP","AC008124.1","TBC1D2","OAT","SEMA4G","AIMP2","SEZ6L2",NA,NA,"CLDN4"
"SYT17","PRIM2","REV1","CORO2A","DHX32","LDB1","TMEM260","TTC7B",NA,NA,"SRRM3"
"ARSE","LINC00472","SNRNP48","TBX19","ZNF511","GFRA1","MSANTD2","ZNF260",NA,NA,"CCDC146"
"DHRS7B","DDX43","CA12","ARMCX5","AC136475.1","GRK5","AC015819.1","SRD5A1",NA,NA,"MAGI2"
"MMACHC","ME1","SHPRH","SP140","AP006284.1","CPXM2","S100B","FOXD2-AS1",NA,NA,"SEMA3A"
"SLC17A3","RNGTT","FGD6","HIC1","DEAF1","INPP5A","USP19","AC010883.3",NA,NA,"STEAP2"
"CNNM4","LINC02532","RBBP5","BAG5","TMEM80","KNDC1","ZNF142","TLR5",NA,NA,"CFAP69"
"APBA1","WASF1","C18orf54","ZNF641","TRIM3","RRM1","AL121603.2","BORCS8",NA,NA,"GTPBP10"
"LINS1","RNF146","WNT11","ADORA3","DCHS1","RIC3","SNX7","CLIC6",NA,NA,"SGCE"
"SPATA2L","L3MBTL3","DNAAF4","ZNF611","CYP2R1","BBOX1","AC108134.2","SLC7A6OS",NA,NA,"PRKAR2B"
"GLRX2","SMLR1","CCL4L2","ALKAL2","FANCF","TSPAN18","OLMALINC","PROM1",NA,NA,"AC018638.7"
"BAHCC1","ENPP1","GDPD1","SLC25A44","TRAF6","MAPK8IP1","TMPPE","NPTXR",NA,NA,"PLXNA4"
"ANKEF1","SLC2A12","CMIP","NRSN2","ALKBH3","AMBRA1","C1orf53","EFHD1",NA,NA,"AC005229.4"
"E2F3","HBS1L","INTU","C14orf93","SLC39A13","PPP1R32","GTF2H4","TUBGCP4",NA,NA,"ZNF282"
"TSR1","PEX7","GTF2H2","GORAB","PATL1","MYRF","SLAMF9","MOCS2",NA,NA,"ZNF467"
"TYMS","VTA1","C19orf38","TRUB1","TMEM138","BEST1","SUPV3L1","DAPK2",NA,NA,"AC093458.1"
"STIMATE","FBXO5","SERPINA1","ZNF865","FEN1","SLC22A10","B9D2","C8orf58",NA,NA,"AC073111.4"
"PRDM10","PRR18","CYBB","ADAP1","RAB3IL1","NAALADL1","AL645933.2","TRIM66",NA,NA,"LINC00996"
"GPR137B","FGFR1OP","TMEM51","CD27-AS1","TTC9C","CDC42EP2","CYP20A1","CCDC18",NA,NA,"SMARCD3"
"ZFYVE27","WDR27","B3GNT7","MEGF8","FRMD8","BBS1","AL157373.2","ANKRD13C",NA,NA,"ACTR3B"
"ADAMTSL3","GPER1","LILRB3","TRDC","FCHSD2","SSH3","VXN","STS",NA,NA,"AC144652.1"
"ZNF140","ELFN1","PTK7","TLE2","MRPL48","LINC02754","SEMA6B","SNX16",NA,NA,"MYOM2"
"ZNF408","AC004982.1","CCDC7","COQ10A","KCNE3","PAAF1","MAPRE3","PEX11G",NA,NA,"SOX7"
"TSPAN7","ARL4A","PRKCB","NTN4","CEP295","PPME1","AC099508.1","ASAP3",NA,NA,"AF131215.6"
"EEF2KMT","AC005014.3","NCEH1","PHF6","LAYN","PGM2L1","AP002840.2","ESR1",NA,NA,"MICU3"
"GANC","TWISTNB","CSF3R","SLC7A8","DIXDC1","RNF169","ST7-AS1","ZNF251",NA,NA,"PPP3CC"
"NATD1","BMPER","LHFPL2","BICDL1","CXCR5","KCTD21","CACNA2D1","ARHGAP33",NA,NA,"CCAR2"
"ZNF611","POU6F2-AS1","CHD7","HSPA14","MIR100HG","NARS2","TNF","SGPP2",NA,NA,"AC044849.1"
"ZC3H8","SUGCT","RSF1","HSPA14","CLMP","MRE11","PIK3R6","TPD52L1",NA,NA,"LSM1"
"TOR2A","GCK","TIMM21","BACH2","NCAPD3","FUT4","CD33","ANGPT2",NA,NA,"IDO1"
"TMEM8B","CAMK2B","SPP1","BBS4","CDCA3","AMOTL1","ZNF746","PEX5",NA,NA,"SFRP1"
"OIT3","NACAD","RIN1","GIMAP7","NECAP1","ARHGAP42","ETV3","AL034397.3",NA,NA,"AC103724.4"
"MSC-AS1","ADCY1","PCSK5","TFPI2","C2CD5","DLAT","MED14OS","ZNF585B",NA,NA,"AC064807.1"
"ARHGEF25","CRCP","MT-CO3","CCDC59","LRMP","APOA4","ACYP1","AC093297.2",NA,NA,"FAM110B"
"PET117","FZD9","ZNF589","DDX10","KANSL2","MPZL2","EPHB6","TYW5",NA,NA,"TOX"
"PLEK2","GSAP","LOX","KIAA0586","KMT2D","AP003392.3","HCP5","MTMR2",NA,NA,"LACTB2-AS1"
"ZBTB5","AC004862.1","ARHGAP26","ZBTB5","AAAS","H2AFX","FAM229A","TAF4",NA,NA,"LY96"
"IFT80","PEG10","LINC01309","TRIP4","BBS10","CCDC153","LARS2","ANKRD22",NA,NA,"PI15"
"VSIG10","BAIAP2L1","CD72","TFF3","ATP2B1-AS1","ZNF202","SSX2IP","RGP1",NA,NA,"PKIA"
"ABHD18","TRRAP","SMAP1","IFFO2","LINC01619","SPA17","GALNT3","PRKAA2",NA,NA,"ZC2HC1A"
"GAS6-AS1","PTCD1","LAMB3","TMCO6","C12orf73","HYLS1","MTMR9","KCTD15",NA,NA,"TPD52"
"EPDR1","CYP3A43","ABCG1","PRMT6","IFT81","NFRKB","IL4I1","TGFA",NA,NA,"E2F5"
"CEP68","ZSCAN21","RUFY3","PJA1","RHOF","PARP11","GLA","CHCHD3",NA,NA,"FZD6"
"SRFBP1","STAG3","PIGM","COG6","VPS33A","SCNN1A","AMN1","AQP11",NA,NA,"NUDCD1"
"DPP4","EPO","AF117829.1","BRICD5","ATP6V0A2","NCAPD2","ZNF460-AS1","MCM4",NA,NA,"TMEM65"
"HMCN1","MUC3A","BAZ2B","CTC1","AACS","AC018653.3","PYCARD-AS1","WDSUB1",NA,NA,"TRAPPC9"
"BIN3","ALKBH4","OLFM4","LGI2","PUS1","SMCO2","ZNF180","NEDD4L",NA,NA,"JRK"
"ANKMY2","LRRN3","FMNL2","EPSTI1","PGAM5","YARS2","ZNRF2","ZNF318",NA,NA,"LY6H"
"ARMC8","FOXP2","SP110","NSUN4","AL355001.2","CPNE8","AC010889.1","FDXR",NA,NA,"ZC3H3"
"NAV2","AC006333.2","C12orf66","ST3GAL3","MICU2","RAPGEF3","FAAP24","EARS2",NA,NA,"AL162253.2"
"PYROXD1","GPR37","FCHO2","TESPA1","SMAD9","ADCY6","CD300A","ADAL",NA,NA,"CDKN2A"
"SCAI","METTL2B","CCL20","ZNF362","EXOSC8","C12orf10","CALR3","SPNS3",NA,NA,"FAM219A"
"GOSR1","BRAF","PDE3A","SLC26A11","INTS6-AS1","SLC16A7","NPM3","IFT22",NA,NA,"PHF24"
"AP003307.1","MGAM","COA7","FAHD2B","KLF12","RXYLT1","NAGPA","ADGRV1",NA,NA,"NPR2"
"XRCC4","TMEM139","ASB3","AC104083.1","OBI1","SOCS2-AS1","ZBED4","HNF1A",NA,NA,"GLIDR"
"ADORA2A-AS1","KCNH2","VSIG4","MEIS2","ABCC4","AC007541.1","AC018755.4","KDM1B",NA,NA,"CBWD6"
"MIR503HG","SHH","GABPB2","NUDT1","ZNF219","OAS1","FAM184A","LCORL",NA,NA,"CNTNAP3B"
"ZBTB9","NCAPG2","AC245060.5","PATJ","METTL3","AC068790.9","TFPT","ZNF839",NA,NA,"PIP5K1B"
"CACNB1","ERI1","CACNA1A","FUNDC1","SLC7A7","IFT88","TMEM102","WRAP53",NA,NA,"RORB"
"SPATA7","AC022784.5","SLF1","FREM2","LINC01588","EEF1AKMT1","PHF20","HERC6",NA,NA,"NTRK2"
"ZKSCAN5","AC022784.1","EEA1","PPP2R5B","SOCS4","LINC00539","SFXN3","PNKP",NA,NA,"GAS1"
"TMEM44","AC025857.2","AL162458.1","ZNF662","TRMT5","CDK8","ZSWIM8-AS1","YAE1",NA,NA,"CDK20"
"ARMCX2","ZDHHC2","PDLIM3","SLC22A5","SLC38A6","TNFSF11","NIPBL-DT","BLOC1S5",NA,NA,"CKS2"
"LRCH1","PIWIL2","NEDD1","USP39","AL136038.5","GTF2F2","MAPKAP1","TMLHE",NA,NA,"ROR2"
"GPN2","AC104561.4","RBM25","TFIP11","SGPP1","CDADC1","SPRY4","SYS1",NA,NA,"OMD"
"NIPSNAP3A","NRG1","PODNL1","ANKRD27","COQ6","DZIP1","AC027682.1","STC1",NA,NA,"ECM2"
"MIGA2","FUT10","HSDL1","RHBDL1","POMT2","SLC15A1","ZFY","RAB40B",NA,NA,"AL691447.2"
"BCL2L13","PLPBP","SPOP","IL2RA","TMED8","DOCK9","NEDD4L","B3GNT2",NA,NA,"PTCH1"
"EAF1","IDO2","KLF3-AS1","GRPEL1","LINC02328","AL157762.1","ASXL2","PLA1A",NA,NA,"CCDC180"
"AC087477.2","CYP7A1","PCDH7","GAB2","SYNE3","TMCO3","TNFRSF18","SLC30A5",NA,NA,"TRMO"
"GPR176","TTPA","RICTOR","MYO18A","BCL11B","UPF3A","DMKN","HACL1",NA,NA,"TMEM246"
"NAXD","TRIM55","CDC42BPA","GAR1","HHIPL1","PNP","RNF157","BBS4",NA,NA,"ZNF483"
"MRM2","CPA6","LRRC37A2","SCYL3","EML1","NGDN","AC112206.2","APOD",NA,NA,"INIP"
"DOCK7","NCOA2","MT-ND4","HBEGF","DIO3OS","ADCY4","AC009120.5","VPS33B",NA,NA,"PHF19"
"MCC","XKR9","TAF4B","CARD8-AS1","PPP1R13B","DMAC2L","ZNF433-AS1","MORC4",NA,NA,"RC3H2"
"MVB12B","HNF4G","VRK2","NBN","CDCA4","PTGDR","AC133644.2","MRPL47",NA,NA,"STRBP"
"AC027307.2","SLC10A5","USP40","BCL10","AVEN","TIMM9","TMEM144","LINC01138",NA,NA,"OLFML2A"
"CCNYL1","CHMP4C","WRN","SENP1","RASGRP1","JKAMP","GPR15","TPRG1",NA,NA,"STXBP1"
"CD109","CA13","GPSM1","STOML1","RAD51-AS1","ACOT4","PRTFDC1","AL135905.2",NA,NA,"PTRH1"
"SLC36A4","FAM92A","SULF1","FASTKD1","TTBK2","ALKBH1","TREM2","ADPRH",NA,NA,"SH2D3C"
"ZNF121","BAALC","ZNF792","SLC22A3","PPIP5K1","TTC8","TOMM40L","TMCO6",NA,NA,"LCNL1"
"SOX13","AC079061.1","NFATC2IP","MOV10","SPG11","COA8","AC096677.1","GFI1",NA,NA,"ZMYND19"
"CPPED1","TNFRSF11B","VPS11","THUMPD2","GABPB1","ZBTB42","AC107375.1","ADGRL1",NA,NA,"ST8SIA6"
"ELP4","C8orf76","ZNF600","CTNNBIP1","LINC00926","BTBD6","IPPK","CXCR6",NA,NA,"CSGALNACT2"
"TRAPPC8","ANXA13","CENPBD1","TAF9B","SNX22","NSMCE3","PDE4A","TBXA2R",NA,NA,"PARG"
"PCDH1","MTSS1","BCAT1","FBF1","UBAP1L","RPAP1","AL135905.1","SLC17A3",NA,NA,"PRKG1"
"TLE2","CASC19","NEMF","JMY","SEMA7A","AC051619.5","ACTR6","PILRA",NA,NA,"AC022400.4"
"TIFA","WDR97","RAB7B","PRKCZ","ULK3","TNFAIP8L3","CNIH3","TMPRSS3",NA,NA,"CAMK2G"
"COP1","ZNF16","PNISR","LRRC57","SNUPN","WDR72","FBXO45","IQCE",NA,NA,"PLAC9"
"PARD3B","SLC1A1","RALA","DHX57","FBXO22","SLC24A1","POP1","BET1L",NA,NA,"SNCG"
"MRPL46","MPDZ","BICD2","LTN1","CEMIP","TIPIN","PLK1","CALML4",NA,NA,"NUTM2A-AS1"
"EID2","SLC25A51","POU2F1","TRIM2","WHAMM","MYO9A","GPR162","DDX20",NA,NA,"KIF20B"
"PLA2G12B","LERFS","BIRC7","TEPSIN","KIF7","AC105020.6","ZNF625","AL096870.8",NA,NA,"TCTN3"
"GLT8D2","ANKRD20A1","ZC3H13","NUTM2B-AS1","LYSMD4","SNHG21","LINC01409","SHQ1",NA,NA,"SLIT1"
"LANCL2","AL161457.2","METTL6","CAMK4","POLR3K","HOMER2","FAM185A","DNALI1",NA,NA,"UBTD1"
"LINC01138","FAM189A2","AL138756.1","RRP9","RHBDF1","ADAMTS17","THAP7-AS1","PHRF1",NA,NA,"PSD"
"FOXO4","VPS13A","DYNC1I2","ARHGEF10","RAB40C","WDR24","IFT122","GCNT2",NA,NA,"VTI1A"
"THOC5","C9orf64","BCAR3","RASD1","HAGHL","EME2","ZNF2","PLPP4",NA,NA,"C10orf88"
"CHST3","AL353748.3","STRIP1","TRIM39","E4F1","MMP25-AS1","B3GALNT1","RPL39L",NA,NA,"EDRF1-DT"
"CD27-AS1","OGN","SLC35E3","WDR20","DNASE1L2","COQ7","SOCS7","BAHCC1",NA,NA,"CLRN3"
"BRSK1","AL158152.1","NABP1","DNAJC22","MMP25","DCUN1D3","MTA3","RARA-AS1",NA,NA,"B4GALNT4"
"NLRX1","HSD17B3","LACC1","COL8A2","MIR193BHG","ANKS4B","ZBTB7B","MAP3K10",NA,NA,"MUC6"
"PALD1","MSANTD3","C11orf21","GPR34","NPIPA1","AC009093.2","C4orf50","OSBPL5",NA,NA,"TNNI2"
"DSG2","KIAA1958","NOX4","KATNAL1","ABCC1","ZG16","ABHD4","CDK7",NA,NA,"TNNT3"
"ZSCAN29","AL359644.1","USP32","PTRHD1","TMEM159","AC002310.1","QSOX2","THAP1",NA,NA,"DNHD1"
"PCSK9","LHX2","HS3ST1","SNAPC2","AC092375.2","ZNF764","P3H3","NUDT1",NA,NA,"CYB5R2"
"BACH2","NR6A1","SMO","NEU4","NPIPB4","ZNF785","WDR76","LINC02716",NA,NA,"SPON1"
"IKZF5","RABEPK","PTGFRN","AHDC1","USP31","ZNF668","ZNF354C","TTLL5",NA,NA,"AC124798.1"
"MMAA","KYAT1","PKHD1","ALKBH6","KIAA0556","C16orf87","AL157392.3","PATJ",NA,NA,"SAAL1"
"ZNF662","DOLPP1","RBM26","PCDH9","SGF29","CETP","GCC1","TOE1",NA,NA,"FIBIN"
"NBPF1","DBH","LINC-PINT","EEF1AKMT2","AC145285.6","SLC38A7","HIRIP3","FNDC5",NA,NA,"TCP11L1"
"HIST1H2BD","FCN2","IGHG1","BCL2L13","CD19","ELMO3","ZMYM4","FP565260.1",NA,NA,"CHST1"
"RAPGEF4","LCN12","BAG3","TTC32","LAT","ESRP2","NAV1","NR2F1-AS1",NA,NA,"CLP1"
"TMEM234","SEC61A2","TNFSF13B","RILPL2","KCTD13","MARVELD3","FGD2","ATG16L1",NA,NA,"CD5"
"POC5","CDNF","PUM3","ORC3","ZNF747","NUDT7","IL5RA","XPNPEP3",NA,NA,"TRPT1"
"ZFP1","AL450384.1","IGLC2","BRD1","STX1B","WFDC1","CALML4","FAM78A",NA,NA,"CD248"
"ABCA3","ACBD5","CDYL","ASAP2","AC026471.2","TLCD3A","UBLCP1","METTL4",NA,NA,"AP001107.9"
"BCLAF3","MKX","EXOC1","AMPD1","DNAJA2","TIMM22","ADAMTS9-AS1","GPR89B",NA,NA,"SPTBN2"
"SHQ1","BAMBI","CDH11","RASAL2","CCL22","CAMKK1","EMC8","SGK2",NA,NA,"RCE1"
"POLR3D","ZNF33B","GNA15","PTPRM","ZFP90","ENO3","AGK","CAMK1",NA,NA,"MRGPRF"
"PPARA","AL137026.3","AC092279.1","UBOX5","TXNL4B","AC087500.1","ABCA9","TRDC",NA,NA,"NEU3"
"ARRDC4","A1CF","LINC02035","ABCA10","CPNE7","CNTROB","RPS6KA1","NTN4",NA,NA,"KLHL35"
"LMO7","DNAJC12","PPP2R3C","CCDC93","AC010538.1","BORCS6","GPD2","RNF6",NA,NA,"MAP6"
"FAM83F","FAM241B","IFT74","MTERF4","FANCA","ADPRM","OSBPL10","MECR",NA,NA,"RAB30"
"RRAGD","ADAMTS14","AC025181.2","CRYZL1","GAS8","CENPV","HEATR5B","AC026462.3",NA,NA,"DLG2"
"FARP2","AGAP5","MSH3","MARC1","PITPNA-AS1","MED9","CNN1","PCSK9",NA,NA,"SYTL2"
"NOLC1","PANK1","WDR4","AOPEP","P2RX5","TOP3A","RBBP9","ORC4",NA,NA,"NAALAD2"
"ARMC5","AL157400.2","STX2","TMEM242","GP1BA","CCL8","LINC01412","CRHBP",NA,NA,"SLC35F2"
"GATB","CC2D2B","ETV5","ANAPC1","KIAA0753","ZNF830","PILRA","SDCBP2",NA,NA,"FDXACB1"
"KLF11","AVPI1","EIF3J-DT","RUBCNL","TNK1","CCL15","EPHA1","AGFG2",NA,NA,"SCN4B"
"NOSTRIN","AL391684.1","CNOT10","ATMIN","COX10-AS1","PLXDC1","LYSMD3","MCTP1",NA,NA,"CBL"
"PDZD4","AL121929.2","CNTLN","SLC37A1","ZNF286A","GSDMA","DTNA","PARD3B",NA,NA,"TLCD5"
"NUGGC","AL158163.2","CFAP298","BCL2","RAI1","CDC6","STAMBPL1","R3HCC1",NA,NA,"TULP3"
"FBF1","DCLRE1A","RNF215","RBSN","LINC02693","TUBG2","ADPRHL2","GIPC1",NA,NA,"C12orf4"
"PI4K2B","BTBD16","TFDP2","GZMM","TMEM199","CCDC43","PGF","DSG2",NA,NA,"SPSB2"
"METTL22","PAOX","CNRIP1","TMEM185A","PIGS","ACBD4","AC022509.4","MED7",NA,NA,"SMCO3"
"TMEM255A","DRD4","ANKRD24","ZNF426","AC005726.3","KANSL1-AS1","IYD","PPP2R5B",NA,NA,"PLEKHA5"
"MCTP1","AP006621.3","LTV1","SIGLEC8","KIAA0100","OSBPL7","RABL2A","TMEM101",NA,NA,"AEBP2"
"RAP1GAP","PGAP2","DHX35","RCCD1","CRLF3","SP2","WDR31","UCHL3",NA,NA,"INTS13"
"CFHR4","STK33","IPMK","MAML1","UTP6","SAMD14","RNFT1-DT","TOGARAM1",NA,NA,"MED21"
