"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
"BYSL","SLC35A5","MEG8","AL355488.1","CNR1","PAK1IP1","LINC00894","FGF13",NA,NA,"FAM131A"
"RHBDL1","CCDC191","CLBA1","DENND11","AL022067.1","SMIM13","UBL4A","TSPOAP1-AS1",NA,NA,"AC107294.2"
"PPL","ARHGAP31","FMN1","GPR146","CRYBG1","EDN1","E2F2","CDKN2B",NA,NA,"MB21D2"
"PARD6B","AC112484.3","FAM98B","UCN","CDK19","CAP2","TBPL1","COX10",NA,NA,"LINC00884"
"RND1","TMCC1-AS1","CEP152","BAIAP3","TRAF3IP2","MBOAT1","ZNF503","LINC02611",NA,NA,"LSG1"
"MAP7","BFSP2","SCAPER","RPTOR","TRMT11","HFE","AC048341.1","GMEB2",NA,NA,"XXYLT1"
"PEX11A","GK5","HDGFL3","HSPA12A","LINC00271","HIST1H2BC","INAFM2","FCHO1",NA,NA,"TCTEX1D2"
"B3GLCT","AC093001.2","GOLGA6L4","CDC26","MAP3K5","HLA-G","GNAO1","AC010503.4",NA,NA,"NCBP2"
"ADHFE1","TM4SF18","TARSL2","TSEN54","HIVEP2","SFTA2","ZGLP1","PAQR5",NA,NA,"MELTF-AS1"
"CGRRF1","P2RY1","ZNF75A","IQCG","ADAT2","CCHCR1","LINC01315","CDKN2C",NA,NA,"UVSSA"
"TMEM92","MME","CCP110","NAT1","TFB1M","HCG27","IL10","PPM1L",NA,NA,"AC104825.1"
"FANCC","AC091607.2","HEATR3","SERPINB9P1","TCTE3","MICA","TRGC2","AC091563.1",NA,NA,"AC005674.2"
"THAP8","AC092944.1","CHD9","ZNF561-AS1","FAM120B","PPIL1","EXD3","SPIRE2",NA,NA,"CD38"
"ZNF510","GFM1","HSF4","ULK2","AC091729.3","TMEM217","CEP55","TMEM147-AS1",NA,NA,"RHOH"
"LINC01554","AC080013.3","AC027279.1","PLEKHA7","PMS2","UNC5CL","TESMIN","AC092821.3",NA,NA,"KIT"
"KCNC3","LINC02015","TLCD2","MXD1","USP42","POLR1C","AC007497.1","ATRIP",NA,NA,"NOA1"
"CDH23","THPO","DHX33","SLC31A2","BZW2","MAD2L1BP","AMPD3","IBA57",NA,NA,"STAP1"
"LUCAT1","VPS8","DLG4","RFX3","STEAP1B","ADGRF5","PIGB","LINC02027",NA,NA,"RASSF6"
"CASP6","CPN2","SENP3","PIF1","FAM126A","ATG5","EXOG","ACD",NA,NA,"PLAC8"
"RFC5","WDR53","AC015922.3","KLHL15","NOD1","RTN4IP1","AL022322.1","UBXN8",NA,NA,"NPNT"
"POLR1E","MELTF","CCDC144A","VENTX","ELMO1","FRK","SLC6A8","AL354707.1",NA,NA,"LEF1"
"FOXJ2","FAM193A","FAM106A","SUSD3","COA1","TSPYL4","VPS72","LINC01320",NA,NA,"ARSJ"
"ZNF778","AC105345.1","SPECC1","TRAF1","AC006001.2","DCBLD1","CD86","AC015917.2",NA,NA,"RNF150"
"SMIM1","NCAPG","ADAP2","NPTX1","TYW1B","AL023284.4","ARHGEF15","MED6",NA,NA,"IL15"
"CD1D","UCHL1","TADA2A","AC023043.1","POM121","STXBP5","GNGT2","RNF14",NA,NA,"SLC10A7"
"MED18","COMMD8","DUSP14","PATL2","CASTOR2","ZBTB2","BAIAP2-DT","NSUN7",NA,NA,"PRMT9"
"THRSP","NFXL1","TMEM106A","ZNF274","PEX1","RSPH3","KBTBD3","CASTOR1",NA,NA,"NEK1"
"MPP5","CNGA1","AC005670.3","OXT","SAMD9","DLL1","ZBTB14","ANKRD46",NA,NA,"AC097534.2"
"NOL12","AFP","AC002558.3","ZNF462","ZNF789","UMAD1","ANKRD42","NPY1R",NA,NA,"HAND2"
"GLI3","COPS4","HOXB-AS1","ZFP14","AP4M1","NFE2L3","ARSK","LARP6",NA,NA,"FBXO8"
